l,l,l,w,w,r,l,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,O,l,w,r,p,d,d,d,p,a,c,O,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c
1219.4,1985.3,2262.6,2774.7,3010.1,3329.8,3527.9,3716.8,3871.4,4022.7,4092.2,4158.6,4262.6,4361.5,4431.9,4739.4,4886.2,5077,5251.4,5401.1,5549.1,5625.7,5902.4,6049.6,6232,6392.2,6718.5,6870.8,7026.5,7094.3,7161.3,7267.8,7369.5,7439.4,7731.6,7881.6,8086.9,8701.9,8850.9,9005.8,9074.1,9141.7,9248.2,9347.9,9417.5,9757,9921.5,10224,10373,10529,10597,10665,10769,10869,10940,11248,11406,11563,11906,12052,12206,12274,12344,12448,12548,12620
1249.7,2021.1,2368.3,2913,3177.9,3385.5,3593.8,3771.8,3939.5,4074.7,4140.6,4221.4,4322.9,4419,4571.6,4862.3,4940.8,5140.3,5300.5,5473.8,5607.9,5769.4,6025.3,6106.8,6293.2,6578.7,6772.6,6941.5,7073.3,7147.1,7226,7325.9,7426.4,7587.5,7798.7,7992.8,8283.9,8753.5,8924.5,9054.5,9128.2,9207.7,9311.6,9404.6,9564.9,9830.3,10072,10280,10444,10580,10650,10729,10832,10927,11090,11303,11483,11759,11965,12129,12258,12328,12407,12510,12608,12769
