w,r,w,r,w,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,l,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,r,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c
5431.8,5805.3,5968.2,6261.2,6431.1,6622.6,6923.6,7069.4,7218.1,7285.5,7351.4,7455,7553.5,7623.6,7875.9,8020.2,8195.4,8377.4,8525.8,8679.2,8748.4,8814.8,8914.1,9018.7,9084.7,9340.2,9482.6,9661.3,9842.4,9986.4,10129,10196,10446,10587,10770,10950,11105,11258,11327,11393,11495,11597,11663,11934,12079,12257,12485,12654,12813,12881,12947,13048,13152,13219,13500,13645,13846,14027,14179,14320,14390,14759,14904,15092,15249,15565,15720,15880,15949,16015,16117,16223,16290,16939,17102,17286,17647,17801,17959,18028,18096,18195,18301,18369,18822,18971,19132,19312,19643,19800,19958,20027,20095,20198,20306,20373,21354,21521,21839,22016,22177,22247,22315,22419,22526,22604,22882,23028,23225,23433,23587,23755,23826,23894,23995,24103,24173,24675,24832,24993,25063,25132,25235,25345,25413
5575.4,5863.3,6145.3,6320.5,6539.7,6813.1,6987.7,7142.5,7265.6,7333.6,7414.9,7517.6,7611.6,7768.4,8000.4,8078.6,8267,8438.2,8597.3,8730.1,8797.5,8876.2,8983.6,9074.8,9233.6,9465.7,9544.2,9729.5,9901.8,10060,10189,10346,10565,10647,10837,11016,11183,11309,11378,11455,11561,11655,11816,12058,12146,12327,12550,12728,12861,12933,13012,13115,13212,13372,13630,13709,13913,14098,14258,14383,14542,14894,14969,15163,15359,15632,15798,15930,16002,16080,16186,16283,16444,17004,17203,17519,17714,17881,18010,18082,18161,18264,18361,18522,18957,19032,19206,19518,19711,19877,20009,20080,20159,20268,20364,20529,21419,21707,21906,22092,22229,22302,22378,22488,22587,22750,23010,23098,23299,23502,23667,23808,23882,23964,24066,24165,24326,24741,24909,25045,25115,25199,25307,25405,25568
