r,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,l,w,r,w,r,w,r,p,d,d,d,p,a,c,x,y,l,w,w,r,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,w,w,r,p,a,c,r,l,r,p,d,d,d,p,a,c,r,l,r,w,r,p,a,c,x,y
1996.6,2151,2524.6,2684.9,2840.8,2911,2981.6,3080.7,3187.9,3257.5,3581,3747.2,3917.8,3987.8,4057.1,4157.9,4267,4334.9,4841.8,5008,5198.8,5738.9,5914.6,6729.1,6891.8,7240.3,7403.2,7566.8,7638.3,7708.2,7810.9,7921,7989.2,8363.6,8513.1,8716.9,8880.6,9074.8,9888.5,10068,10473,10642,10808,10879,10948,11050,11159,11228,11537,11697,11865,11937,12005,12109,12218,12287,13054,13226,13458,13867,14028,14185,14264,14832,15011,15259,15418,15583,15655,15724,15828,15935,16004,16502,16676,17314,17496,17781,17939,18099,18172,18461,18618
2047,2327.9,2591.1,2758.2,2889.8,2961.8,3043.5,3152,3249.7,3409.3,3642.4,3818.9,3968.3,4038.3,4120.1,4228.2,4325.8,4488.4,4907.9,5104.5,5388.1,5807.4,6028.8,6791.4,7021.3,7305.8,7475.9,7616.5,7691.4,7772.3,7882.5,7977.4,8138.2,8493.6,8574.1,8785.2,8987.2,9271.6,9949.4,10259,10541,10720,10857,10930,11012,11121,11220,11386,11600,11774,11915,11988,12071,12180,12280,12444,13113,13339,13663,13933,14104,14245,14409,14897,15113,15325,15496,15633,15708,15789,15898,15995,16163,16567,16776,17377,17626,17847,18012,18162,18325,18595,18681
