w,r,w,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,d,d,d,p,a,c,x,y,l,r,p,p,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,r,w,r,p,d,d,d,p,a,c,x,y,x,y,l,w,r,p,d,d,d,p,a,c,r,l,r,w,r,p,d,d,d,p,a,c,r,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c
3736.1,4125.6,4303.2,4572.6,4736.2,4893.9,4964,5031.1,5129.2,5234.6,5300.5,5569.6,5713.2,5910.9,6077.1,6308.1,6458.6,6613,6681.2,6749.4,6849.2,6952.7,7018.9,7285.4,7428.9,7626.6,7815,7968.8,8118.1,8187.1,8450.9,8595.8,8748.4,8815.5,8881.4,8983.2,9089.4,9156.5,9454.6,9598.2,9787.8,9977.7,10136,10300,10370,10437,10537,10642,10710,10985,11130,11336,11538,11708,11858,11927,12252,12396,12597,12790,12945,13086,13157,13421,13568,13773,13991,14150,14304,14372,14648,14797,14990,15172,15326,15483,15551,15621,15722,15828,15897,16202,16353,16842,17017,17278,17437,17595,17664,17733,17835,17943,18011,18377,18527,18823,18969,19209,19366,19888,20053,20218,20288,20356,20456,20564,20633,21698,21880,22870,23033,23336,23501,23665,23736,23806,23904,24011,24090,24461,24622,24849,25009,25172,25241,25514,25660,25867,26073,26241,26404,26475,26545,26647,26754,26823
3891.7,4189.9,4429.7,4635.2,4803,4943.3,5013.5,5090.7,5200,5291.7,5449.1,5697.1,5774.9,5977,6197.7,6371.5,6532.7,6662.9,6734.5,6811.4,6917.9,7010.5,7168.9,7411.5,7490.5,7691.9,7880.1,8043.7,8181,8333.3,8572.7,8659.1,8796.1,8866.5,8945.3,9052.7,9147.3,9310.5,9582.9,9662.2,9856.8,10044,10213,10350,10421,10500,10607,10702,10860,11111,11193,11407,11604,11786,11920,12084,12377,12458,12666,12857,13017,13150,13312,13552,13633,13846,14058,14225,14367,14526,14784,14860,15060,15237,15403,15533,15604,15687,15794,15886,16051,16340,16419,16907,17128,17345,17515,17646,17718,17800,17906,18005,18164,18509,18589,18953,19034,19276,19574,19950,20124,20267,20339,20416,20528,20625,20789,21755,22004,22924,23173,23400,23576,23714,23788,23869,23973,24071,24233,24528,24714,24915,25084,25231,25397,25642,25723,25934,26140,26319,26458,26528,26609,26717,26817,26981
