l,w,w,r,l,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d
1988.5,2312.9,2683.3,3005.9,3178.4,3360.2,3673.8,3844.7,4007.3,4078.4,4146.8,4248.5,4354.8,4424,4729.5,4905.1,5064,5133.5,5202.4,5305.2,5412.1,5479.2,5932.1,6099.9,6296.5,6456.9,6611.8,6681.3,6751,6851.2,6958.8,7027.1,7301.2,7444.7,7630.6,7824.4,7978,8147.8,8216.3,8287,8387.5,8494.3,8565,8879.1,9026.1,9271,9458.9,9621.8,9769.5,9840.1,10102,10249,10450,10635,10796,10955,11024,11093,11196,11313,11372,11691,11871,12062,12414,12581,12740,12810,12881
2034.8,2480.7,2830.9,3065.8,3274,3512,3740.5,3913.2,4054.4,4127,4211,4317.1,4415.8,4578.2,4794.1,4981.6,5113.4,5185.1,5265.3,5374.6,5471.5,5632.2,5998.2,6167.5,6363,6533.9,6661.9,6734.8,6812.9,6918.8,7016.7,7181,7423.7,7507.8,7701,7888.1,8055.6,8196.6,8267.1,8347.2,8451.6,8554.8,8713.9,9008.1,9089.6,9334.5,9523.2,9696.9,9829.2,9993.1,10228,10310,10517,10700,10868,11004,11076,11157,11266,11363,11524,11754,11969,12259,12483,12657,12790,12861,12943
