l,w,r,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,d,d,d,p,a,c
3791.7,3999.4,4321.7,4506.4,4838.1,4991.6,5148.3,5214.9,5281,5379.6,5482.8,5550.4,5834.7,5995,6150.4,6219.3,6286.1,6386,6489.5,6556.8,6859,7045.4,7196.4,7355.5,7422.8,7488.8,7589.5,7693.1,7761.2,8049.9,8199.9,8354.4,8422.1,8488.9,8590.9,8697.7,8772.9,9025.9,9171.7,9338.6,9721.5,9881.9,10023,10092,10362,10509,10690,11002,11158,11318,11386,11455,11529,11659,11726,11989,12132,12306,12509,12659,12811,12880,13162,13306,13492,13687,13841,13997,14067,14134,14235,14341,14409,14700,14846,15032,15222,15381,15519,15591,15862,16009,16173,16244,16314,16418,16527,16596
3898,4153,4379.9,4703.7,4895.5,5064.1,5193.1,5266.9,5341.2,5444.8,5541.8,5698.5,5898.8,6064.4,6199.5,6271.7,6349.1,6451.3,6549.9,6702.6,6922.8,7106.9,7266.7,7403.6,7474.3,7554.1,7659,7753.9,7912.1,8111.4,8274.2,8407.4,8476.2,8552.5,8659.5,8752.7,8915.3,9155.8,9231.8,9406.1,9785.2,9951.3,10085,10241,10489,10571,10761,11065,11227,11368,11437,11519,11622,11718,11880,12115,12199,12380,12581,12732,12873,13035,13293,13371,13562,13753,13913,14048,14121,14198,14304,14402,14562,14828,14909,15099,15287,15454,15582,15743,15991,16073,16228,16298,16380,16488,16588,16751
