l,w,w,r,w,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,w,w,r,p,d,d,d,p,a,c,x,y,w,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c
1986.2,2432,2798.9,3086.7,3256.9,3468.5,3801.7,3957.4,4115.1,4183.9,4252.5,4352.9,4455.9,4524.4,4815.7,4972.7,5150.3,5466.2,5621.6,5779.3,5849.2,5915.5,6016.6,6118.3,6186.4,6450.5,6595.9,6771.3,6961.8,7119.5,7279.9,7348.7,7416.8,7517.9,7623.8,7692.6,7962.3,8107.5,8294.8,8462.2,8803,8956.6,9113.6,9182.8,9251.4,9354.5,9460,9529.3,9819.5,9968,10172,10361,10515,10663,10733,11003,11153,11329,11500,11804,11975,12136,12205,12276,12378,12484,12552,12863,13013,13195,13397,13553,13714,13785,13854,13956,14065,14132,14424,14573,14794,14955,15380,15546,15704,15776,15845,15948,16053,16122
2080.2,2554.9,2935.4,3144.8,3387.2,3660.9,3866.3,4030.8,4163.2,4235.3,4316.4,4418.7,4516.3,4678.8,4880.6,5074.7,5332.4,5533.4,5696.1,5828.5,5898.8,5978.6,6082.3,6180.2,6339.8,6577.9,6657.3,6839.7,7028.6,7191.3,7331.4,7402.6,7479,7584.6,7682.9,7844.8,8090.7,8172.6,8360.2,8669.1,8870.2,9035.7,9162.8,9238.9,9315.8,9419.1,9520,9681.2,9953.1,10033,10244,10433,10591,10725,10886,11138,11215,11397,11659,11870,12051,12187,12256,12343,12448,12544,12706,12997,13079,13267,13463,13634,13766,13840,13921,14028,14126,14283,14555,14639,14860,15167,15445,15623,15756,15830,15911,16017,16115,16278
