l,w,w,w,w,r,w,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,p,a,c,r,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,r,w,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c
2299.6,2440.1,2675.9,2996.8,3268.2,3608.3,3797.8,4012.4,4263.6,4420,4581.8,4650.9,4718.8,4818.5,4922.5,4995.3,5308.4,5473.2,5648.1,5963.9,6123.3,6280.9,6352,6418.5,6519.7,6626.5,6695.4,6984.2,7152.4,7355.8,7508.7,7670.8,7741.1,7811.3,7912.6,8019.5,8096.4,8389.7,8554.3,8709.6,8778.1,9074.3,9253.1,9447.4,9606,9756.3,9831.1,10106,10253,10432,10643,10804,10966,11036,11106,11209,11315,11383,11697,11860,12026,12096,12164,12267,12375,12443,12897,13063,13277,13822,13979,14137,14207,14276,14379,14488,14556,15369,15533,15797,15954,16115,16184,16254,16358,16466,16536,16854,17017,17179,17250,17540,17686,17876,18097,18261,18407,18479,18806,18954,19181,19399,19549,19716,19787,19856,19959,20069,20144
2344.5,2567.4,2826.5,3150.5,3448.2,3660.5,3918.7,4122.3,4321.2,4489.2,4628.8,4701.6,4780.1,4882.1,4980.9,5142.1,5371.3,5571.1,5844.2,6026.5,6199.2,6330.8,6403.3,6483.1,6586.8,6687.7,6846.2,7048,7235.9,7417.8,7585.2,7720.6,7791.9,7874.2,7982.3,8080,8239.4,8455.6,8627.2,8771.8,8929.3,9138.2,9326.8,9510.3,9676,9816.8,9981.3,10234,10316,10499,10709,10881,11015,11086,11170,11273,11375,11534,11760,11933,12078,12150,12229,12335,12434,12596,12959,13173,13455,13888,14055,14188,14257,14341,14450,14548,14708,15424,15660,15862,16029,16164,16239,16319,16423,16526,16686,16922,17088,17239,17408,17671,17753,17944,18163,18337,18470,18635,18934,19016,19247,19465,19622,19766,19839,19921,20029,20124,20296
