w,w,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,l,r,r,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,l,r,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c
4434.2,5086.1,5366.9,5533.8,5698,5764.2,5832,5931.4,6033.8,6099.6,6396.5,6567.1,6754.4,6908.8,7065.7,7134.1,7200.5,7298,7402.6,7470.1,7752.2,7933.2,8123.2,8286.9,8444.8,8512,8579.4,8680.9,8784.7,8851.6,9120.3,9260.8,9451.9,9639.6,9797,9958.6,10027,10096,10195,10301,10368,10675,10818,11041,11243,11408,11570,11639,11707,11808,11912,11979,12356,12534,12736,12891,13049,13117,13397,13541,13733,13906,14282,14435,14601,14671,14740,14841,14946,15012
4558.7,5226.2,5426,5602.2,5744.8,5815.6,5895.6,5995.5,6089.4,6252.8,6455.9,6632.6,6809.8,6982.3,7116.6,7183.9,7262.7,7363.8,7459.8,7623.2,7815.2,7998.1,8188.6,8360,8493.5,8565,8641.6,8746.2,8841.7,9001.1,9244,9325.6,9521.8,9707.2,9874,10010,10081,10160,10267,10363,10522,10800,10880,11112,11311,11486,11620,11690,11770,11878,11972,12132,12422,12606,12801,12965,13111,13271,13526,13603,13804,14111,14347,14511,14654,14726,14805,14904,15005,15170
