w,w,w,w,r,w,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,w,w,r,w,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,x,y,r,w,w,r,p,d,d,d,p,a,c
3487.3,3670.8,3944.8,4240.4,4610.9,4777,5035.2,5188.3,5348.9,5418.2,5485.1,5585.3,5688.5,5764.3,6052.4,6223.9,6418.7,6575.1,6731.7,6801,6868.8,6967.4,7074.1,7142.3,7406.7,7551.8,7737.2,7919.8,8074.8,8223.7,8289.9,8554.8,8702.7,8902.2,9089.6,9247.7,9389.1,9459,9716,9861.6,10042,10196,10479,10636,10789,10859,10927,11028,11133,11201,11474,11625,11794,11989,12143,12286,12355,12625,12773,12961,13180,13338,13496,13566,13635,13737,13843,13912,14210,14381,14593,15163,15325,15607,15769,15924,15994,16063,16164,16271,16340,16664,16811,17005,17174,17545,17704,17864,17936,18005,18109,18215,18285,18722,18871,19238,19413,19629,20023,20183,20347,20418,20488,20590,20709,20768
3609.4,3839.3,4107.1,4447.1,4662.6,4895.1,5093.7,5261.6,5396.5,5466.7,5546.1,5651.6,5748.6,5908.3,6115,6297.6,6483.3,6647.9,6780.9,6851.4,6931.1,7037.2,7135.6,7293.6,7528.9,7612.6,7802.1,7981.5,8150.2,8284.8,8460.5,8684.6,8763.7,8968.3,9155.1,9323.4,9452.2,9613.5,9838.9,9925.7,10112,10359,10547,10711,10839,10912,10992,11098,11192,11354,11605,11687,11868,12058,12220,12348,12511,12756,12839,13031,13244,13412,13547,13617,13699,13806,13904,14059,14276,14492,14778,15230,15446,15675,15846,15976,16045,16127,16232,16333,16488,16791,16875,17078,17402,17613,17779,17917,17989,18071,18181,18277,18439,18851,18937,19303,19533,19822,20087,20255,20398,20470,20553,20663,20760,20923
