n,n,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1992,2187.7,2348.9,2454.4,2637.1,2864.2,3048.8,3178.6,3370.3,NaN,3580.9,3740.2,3903,NaN,NaN,4238.7,NaN,4440.5,4599.7,4771.7,4993.6,5121.6,5234,5441.1,NaN,5643.3,5804.8,5967.3,NaN,NaN,6313.1,NaN,6515.1,6674.9,6839.9,NaN,NaN,7192.2,NaN,7395.6,7554.9,7729.1,7950.3,8077.6,8191.3,8373.4,NaN,8578.4,8741.3,8911.1,9133.5,9261.4,9374.7,9579.2,9721.6,9833.3,10019,NaN,10222,10384,10570,NaN,NaN,10907,NaN,11111,11289,11458,11679,11808,11919,12111,NaN,12316,12479,12678,NaN,NaN
2059.5,2219.8,2417.5,2574.2,2743,2932.6,3124.9,3297.2,NaN,3521.7,3681.7,3832.9,NaN,NaN,4155.5,NaN,4390.4,4557.5,4707.4,4952.9,5067.6,5203.2,5346.8,NaN,5592.9,5764.9,5903.7,NaN,NaN,6229.8,NaN,6466.7,6620.7,6784.7,NaN,NaN,7093.3,NaN,7342.6,7490.7,7671.2,7906.3,8041.4,8152.1,8312.2,NaN,8529.1,8686.5,8848.6,9091.7,9224,9343.7,9500.7,9651.5,9794.6,9953.3,NaN,10169,10331,10496,NaN,NaN,10825,NaN,11058,11219,11396,11637,11769,11886,12053,NaN,12264,12439,12592,NaN,NaN,12931
