n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g
1859.8,1991.6,2143.8,2387.6,2562.9,2690.7,2921.6,3093.6,3224.4,3444.8,3597.2,3718.4,3907.9,4064.7,4229.1,NaN,NaN,4564.1,NaN,4768.9,4929.3,5106.9,5323.8,5450.6,5566.3,5753.1,5911.4,6084.6,NaN,NaN,6420.5,NaN,6623.6,6782.7,6961.5,7178.6,7303.6,7415.8,7626.1,7768.1,7877.8,8063.1,8219.9,8393.3,8617.1,8741.9,8854.2,9036.1,NaN,9238.2,9398.4,9572.4
1918.5,2055.4,2200.5,2453.7,2629.6,2795.2,2985.2,3164.3,3334,3511.8,3669.2,3834.8,4004.3,4161.9,NaN,NaN,4480.8,NaN,4710.2,4858.7,5023.8,5279.9,5396,5523.5,5683.4,5851.7,6009.2,NaN,NaN,6337.4,NaN,6570.2,6745,6884.6,7135.2,7249.5,7376.6,7532.2,7694.2,7841.7,8003,8185.2,8319.3,8570,8687.4,8816.4,8971.1,NaN,9185.4,9334.6,9497.4,9749.4
