g,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,x,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c
2626.8,2754.7,2905.3,3082.8,3229.9,3468.4,3632.9,3759.9,3965.1,4131.6,4251,4442.3,4598.1,4758.3,NaN,NaN,5094.3,NaN,5300.4,5455.5,5617.8,5838.6,5965.1,6080.8,6291.2,6436.7,6549.8,6731.5,6890.7,7050.1,NaN,NaN,7383.4,NaN,7585.6,7746.7,7909.8,8132.2,8256.2,8370.6,8575.9,8723.1,8835.2,9019.1,9175.5,9338.2,NaN,NaN,9669.9,NaN,9872.5,10031,10210,10422,10547,10659,10863,10999,11112,11299,11457,11627,NaN,NaN,11959,NaN,12164,12325,12498,12719,12847,12960,13145,NaN,13348,13512,13683,NaN,NaN,14021,NaN,14228,14391,14564,14788,14915,15031,15218,NaN,15422,15586,15755,NaN,NaN,16111,16253,16367,16577,16735,16852,17062,17213,17329,17515,17675,17859,NaN,NaN,18210,NaN,18422
2675.6,2818.3,2963.7,3145,3337,3535,3702.5,3868.1,4036.9,4208.4,4371.6,4540.5,4694.6,NaN,NaN,5017.3,NaN,5249.2,5397.4,5547.8,5797.3,5909.3,6038.6,6197.2,6362,6508.8,6668.4,6832.8,6990.1,NaN,NaN,7301,NaN,7533.7,7679.9,7847,8088.5,8199.8,8329.7,8491.2,8648.5,8797,8958.1,9140.4,9275.9,NaN,NaN,9591.7,NaN,9818.9,9968.2,10128,10382,10490,10621,10778,10935,11074,11231,11397,11558,NaN,NaN,11882,NaN,12108,12290,12427,12676,12791,12921,13086,NaN,13293,13475,13610,NaN,NaN,13939,NaN,14168,14333,14493,14746,14859,14989,15156,NaN,15366,15551,15685,NaN,NaN,16012,16179,16327,16490,16643,16810,16974,17132,17289,17452,17614,17783,NaN,NaN,18116,NaN,18363,18505
