n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c
1953.3,2100.3,2281.3,2460.1,2595.2,2811.5,2976.8,3098.7,3317.4,3466,3588.7,3796,3949.5,4110.9,NaN,NaN,4448.9,NaN,4656,4814.3,5027.6,NaN,NaN,5364,NaN,5567.5,5725.5,5890.7,6114.2,6243.6,6358.8,6565,6709.5,6824.4,7013.4,NaN,7217.4,7378.5,7552.1,NaN,NaN,7909.8,NaN,8114.8,8274.1,8452.1,8674.2,8796.6,8909.3,9120.1,9265.7,9380.4,9569.1,9729,9892.8,NaN,NaN,10222,NaN,10426,10588,10762,10985,11115,11230,11416,NaN,11623,11785,11944,12060,12245,NaN,12450,12611,12776,12998,13122,13237,13451,13593,13706,13895,14053,14217,NaN,NaN,14567,NaN,14774
2015.4,2153.6,2346.8,2524.3,2701.5,2878.4,3047.3,3217.4,3384.4,3539.7,3711.1,3892.8,4044.6,NaN,NaN,4368.8,NaN,4598.7,4754.9,4913.2,NaN,NaN,5281.7,NaN,5514.2,5666.6,5823.7,6069.2,6184.8,6317.8,6486.3,6633,6784,6945.7,NaN,7164.1,7323.2,7478.6,NaN,NaN,7816.4,NaN,8060.2,8214,8374.7,8633.1,8747.5,8871.3,9031,9190.4,9340.4,9506,9666.8,9826.7,NaN,NaN,10157,NaN,10372,10523,10687,10943,11057,11190,11357,NaN,11565,11684,11852,12019,12183,NaN,12398,12550,12710,12955,13068,13195,13360,13524,13669,13829,13992,14154,NaN,NaN,14476,NaN,14715,14861
