n,n,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p
3323.9,3454.2,3594.8,3776.5,3904.3,4128,4269.1,4389.4,4570.1,NaN,4767,4919.3,5079.3,5293.3,5420.4,5530.8,5741.8,5877.9,5988.6,6164.5,6313,6468.7,NaN,NaN,6784.2,NaN,6981.9,7138,7293.8,7509.1,7630,7738.8,7916.8,NaN,8113.9,8267.9,8435,NaN,NaN,8768.8,8899.9,9008.2,9183.8,9337,9504,9715.4,9831.6,9940.6,10124,NaN,10320,10476,10632,10844,10964,11074,11252,NaN,11450,11604,11762,NaN,NaN,12088,NaN,12288,12446,12618,12837,12960,13068,13248,NaN,13446,13604,13768,NaN,NaN,14119,14254,14367,14547,14703,14866,15085,15211,15323,15515,NaN,15714,15881,16062,NaN,NaN
3362.5,3517,3651,3838.6,4007.3,4214.5,4340.6,4509.5,NaN,4714.7,4860,5011.7,5261.7,5367.6,5492.5,5645.8,5806.6,5955.2,6107.8,6240.3,6408,NaN,NaN,6713.3,NaN,6930.7,7084.5,7237.2,7469.6,7597.1,7707.3,7854.8,NaN,8062.9,8236.2,8377.8,NaN,NaN,8683.1,8834.2,8975.8,9128.4,9303.8,9446.9,9680.8,9794.9,9906.5,10064,NaN,10272,10420,10573,10804,10916,11039,11192,NaN,11398,11570,11706,NaN,NaN,12038,NaN,12236,12391,12550,12795,12907,13031,13187,NaN,13398,13572,13699,NaN,NaN,14018,14183,14326,14485,14648,14801,15041,15157,15284,15443,NaN,15663,15812,15984,NaN,NaN,16313
