n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x
1959.7,2137.8,2329.8,2585.2,2753.1,2878,3101.1,3279.1,3409.7,3634.7,3778.8,3897.7,4091,4245.4,4404.1,NaN,NaN,4731.4,NaN,4936.3,5098.8,5262.8,5483.8,5606.4,5719.6,5917.3,NaN,6120.2,6277.4,6443.5,6664.5,6791.4,6905.8,7090.6,NaN,7296.2,7623.3,7774.4,7890.7,8074.9,NaN,8277.9,8437.9,8603.1,8832,8959.8,9073,9260.4,NaN,9463.4,9619.9,9791.5,NaN,NaN,10122,NaN,10329,10484,10663,10885,11009,11125,11315,NaN,11518,11679,11859,NaN,NaN,12207,12352,12463,12654,NaN,12859,13018
2047.7,2195.4,2388.7,2651.8,2818.7,2986.7,3169.1,3356.1,3522.3,3702.6,3857.2,4017.1,4186.6,4341.4,NaN,NaN,4661.8,NaN,4881.5,5025,5206,5448.6,5554.9,5680.1,5842,NaN,6069.5,6242.7,6376.4,6622.5,6737.9,6870,7029,NaN,7244.9,7413.6,7695.7,7846.3,8019.7,NaN,8226.2,8379.7,8535.5,8780.8,8903.7,9035.3,9195.1,NaN,9411.5,9560.6,9719.7,NaN,NaN,10045,NaN,10275,10417,10586,10844,10959,11084,11251,NaN,11469,11624,11778,NaN,NaN,12110,12275,12424,12590,NaN,12805,12987,13118
