n,n,n,n,e,n,n,e,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c
1868.8,1986.9,2134.2,2291.4,2425.8,2674.7,2802.5,2963.5,3187.4,3357.5,3478.9,3697.3,3842.8,3966.3,4183.8,4344.6,4466.1,4686.8,4836.7,4953.6,5140.8,5294.8,5454,NaN,NaN,5795,NaN,5998.7,6152.2,6327.6,NaN,NaN,6666.4,NaN,6864.2,7023.6,7201.9,7427.6,7554.3,7666.8,7870.3,8018.2,8129.6,8314.9,NaN,8519.6,8680,8859.3,NaN,NaN,9202.9,NaN,9403.5,9564.5,9731.8,9952.8,10080,10194,10388,NaN,10597
1912.1,2051.1,2203.5,2350.1,2526.3,2738.3,2903.6,3069.5,3250.8,3426.6,3595.9,3765.3,3914.8,4087.1,4252.9,4416.8,4592.2,4754.7,4908.8,5076,5233.4,5390.3,NaN,NaN,5710.1,NaN,5943.6,6095.1,6252,NaN,NaN,6579.5,NaN,6812,6959.6,7121.5,7379.1,7495.9,7627.7,7786.7,7940.4,8091.5,8245.3,NaN,8465.1,8615.4,8779.3,NaN,NaN,9116.1,NaN,9350.7,9500.7,9664.3,9909.8,10025,10155,10316,NaN,10538,10644
