n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c
4046.6,4185.8,4328,4495.2,4634.6,4858.7,5037,5163.7,5392.9,5546,5659.7,5851.9,6007.7,6170.8,NaN,NaN,6506.7,NaN,6712.8,6869.4,7044.1,7266.4,7394.6,7511.6,7692.4,NaN,7896.7,8064.9,8239.2,NaN,NaN,8575.5,NaN,8779.2,8937.3,9102.8,9322.8,9446.1,9559.9,9766.7,9907.8,10020,10200,10357,10521,NaN,NaN,10864,NaN,11066,11226,11407,11628,11754,11871,12057,NaN,12261,12423,12651,NaN,NaN,12987,NaN,13193,13354,13524,13749,13874,13989,14175,NaN,14378,14539,14710,NaN,NaN,15067,15212,15324,15513,15673,15840,16065,16195,16310,16490,NaN,16694,16855,17060,NaN,NaN,17419,17559,17675,17859,NaN,18068,18232,18415,18637,18768,18885,19073,NaN,19277
4105.1,4253.6,4371.7,4559.5,4753.3,4925.1,5111.2,5273,5462.4,5618.5,5778.7,5945.9,6104.4,NaN,NaN,6423.6,NaN,6658.1,6808.9,6969.7,7222.5,7340.4,7467.2,7630.4,NaN,7845.2,8005.9,8166.3,NaN,NaN,8495.9,NaN,8725.9,8884.2,9045,9282,9393.5,9519.5,9678.6,9836.8,9981.1,10144,10296,10456,NaN,NaN,10780,NaN,11013,11194,11337,11587,11701,11827,11993,NaN,12208,12359,12524,NaN,NaN,12902,NaN,13141,13290,13455,13705,13822,13949,14111,NaN,14328,14489,14655,NaN,NaN,14964,15138,15284,15448,15621,15774,16020,16142,16270,16435,NaN,16642,16804,16957,NaN,NaN,17317,17490,17639,17797,NaN,18013,18170,18331,18593,18712,18844,19006,NaN,19223,19380
