n,n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,n,e,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e
1983,2108.5,2454.1,2573.9,2799.9,3003.9,3155.9,3654.7,3844.9,3959.5,4162.1,4311.1,4425.4,4608,4759.4,4922.4,NaN,NaN,5244,NaN,5445.9,5601.5,5770,5990.1,6114.2,6227.8,6431.1,6568.7,6680.9,6910.8,7617.6,7753.7,7866.1,8041.6,8193.7,8357.8,8570.4,8692.3,8803.9,8986,9142.4,9298.2,NaN,NaN,9615.6,NaN,9813.8,9969.2,10136,10352,10469,10579,10764,NaN,10963,11119,11287,11503,11627,11738,11925,NaN,12123,12281,12452,NaN,NaN,12788,NaN,12990,13147,13315,13533,13653,13763,13974,14109,14220,14408,14560,14729,14956,15080,15191
2035.2,2304.1,2536.4,2706.3,2859,3077.9,3220.4,3724.4,3911.9,4074.4,4227.6,4381.7,4544.7,4701.5,4856.6,NaN,NaN,5174.9,NaN,5394.7,5545.1,5699.6,5946.4,6059.2,6185.9,6348,6499.1,6640.5,6800.3,6987.2,7710.5,7823.2,7982.6,8135.9,8285.5,8527.9,8640.2,8761.4,8921.4,9085.9,9235.5,NaN,NaN,9548.2,NaN,9763.1,9935.5,10065,10308,10421,10541,10700,NaN,10910,11057,11216,11462,11573,11699,11855,NaN,12072,12217,12377,NaN,NaN,12711,NaN,12934,13091,13246,13489,13603,13725,13881,14040,14179,14339,14527,14658,14911,15028,15153,15313
