n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1833.1,1983.2,2137.6,2383.5,2586.2,2764.1,2878.1,3101.4,3273.9,3406.6,3632.3,3793.3,3910.1,4099.4,4252.7,4396.4,NaN,NaN,4765.2,NaN,4967.1,5123.5,5295.4,5513,5636.3,5750.7,5941.6,NaN,6140.7,6295.2,6466.8,NaN,NaN,6830.6,NaN,7031.5,7187.8,7364,7585.4,7707,7820.4,8005.4,NaN,8204.4,8362.6,8524.5,NaN,NaN
1893.2,2045.1,2188.5,2448.5,2652.7,2828.5,2986.2,3165.4,3342.1,3509.8,3703.3,3866.2,4032.8,4192.8,4347,NaN,NaN,4657.6,NaN,4917.2,5067.5,5219.2,5473.5,5583.4,5708.6,5872.8,NaN,6090.2,6238.1,6392,NaN,NaN,6720.5,NaN,6978.4,7132.4,7282.9,7538.3,7656.7,7780.8,7944.2,NaN,8152.4,8303.1,8458.1,NaN,NaN,8778.3
