n,n,n,n,e,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1915.4,1998.9,2178,2357.1,2506.8,2760.4,2951.9,3066,3279.2,3431.4,3548.5,3732.1,3887.1,4054.9,4274.5,4399.2,4511.4,4703.2,NaN,4905.7,5064.1,5247.9,5466.2,5592.3,5704,5887.9,NaN,6091.6,6250.1,6444.3,NaN,NaN,6772.1,NaN,6973,7131.4,7316.8,NaN,NaN,7648.8,NaN,7848.2,8005.5,8176,8396.3,8516.7,8630.7,8819.2,NaN,9021.5,9179.7,9344.9,NaN,NaN,9692.4,9829.7,9941.8,10135,10291,10462,10683,10806,10917,11102,NaN,11306,11466,11646,11869,11995,12107,12291,NaN,12492,12653,12824,NaN,NaN,13165,NaN,13370,13528,13718,14014,14165,14276,14459,NaN,14668,14838,15005,NaN,NaN,15365
1964.6,2097.8,2229.7,2420.3,2606.1,2823.2,3024.6,3175.6,3346,3500.8,3666.4,3830.5,3978.5,4225.9,4344.8,4480.2,4631.6,NaN,4853.4,5009.3,5174.2,5424.9,5538.2,5665.8,5819.2,NaN,6037.7,6185.3,6346,NaN,NaN,6694.5,NaN,6923.5,7089.9,7239.7,NaN,NaN,7567.8,NaN,7792.8,7946.3,8103.3,8354.2,8468.9,8597.6,8752.9,NaN,8969.3,9126.3,9279,NaN,NaN,9599.6,9759.2,9901.5,10065,10234,10389,10638,10755,10884,11055,NaN,11254,11412,11564,11822,11944,12069,12227,NaN,12437,12598,12753,NaN,NaN,13082,NaN,13316,13466,13631,13896,14082,14240,14397,NaN,14612,14768,14948,NaN,NaN,15261,15434
