n,n,n,n,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n
1866.5,1987.2,2146.1,2336,2507.4,2694.8,2850,3132.4,3286.1,3409.9,3612.8,NaN,3817.5,3974.3,4150.4,NaN,NaN,4488.7,NaN,4693.6,4851.8,5025.3,5245.2,5374.1,5490.2,5674.1,5830.1,5989.6,NaN,NaN,6357,NaN,6559.2,6718.6,6890,7113.8,7241,7352.2,7538.5,7695.1,7855,NaN,NaN,8182,NaN,8384.3,8543.6,8711.7,8938.4,9064,9179.2,9365.3,NaN,9570,9739.4,9919.6,10136,10270,10388,10575,NaN,10779,10940,11108,NaN,NaN,11446,NaN,11649,11811,11998,12223,12350
1920.1,2058.2,2196.9,2382,2576.8,2759.7,2955.8,3197.2,3359.2,3530.3,NaN,3761.2,3922.1,4069.9,NaN,NaN,4410.2,NaN,4639.1,4797.8,4951.2,5206.1,5320.1,5448.2,5613.5,5780.8,5928.1,NaN,NaN,6243,NaN,6508.9,6665.4,6826.8,7072.6,7184.7,7317.1,7472.9,7662.2,7805.4,NaN,NaN,8108.2,NaN,8332.3,8481.5,8654.3,8893.6,9012.2,9140.3,9304.4,NaN,9515.8,9676.5,9850.1,10099,10209,10346,10509,NaN,10726,10885,11039,NaN,NaN,11371,NaN,11596,11757,11915,12180,12297,12413
