n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x
1865.4,1995.7,2157,2351.4,2530.7,2652.3,2889.7,3044.6,3159.6,3348.9,3504.8,3672.8,NaN,NaN,4008.3,NaN,4213,4369.6,4543.7,4764.1,4887.2,5001.4,5189.9,NaN,5393,5552.6,5741.4,5959.4,6087,6197.6,6384.4,NaN,6588.1,6746.9,6915.2,NaN,NaN,7250.9,NaN,7458.7,7619.4,7798.9,8023.5,8147.8,8260.3,8461.5,8599.7,8714.8,8898.7,NaN,9103.5,9264.3,9433.3,NaN,NaN,9767.1,NaN,9971.4,10130,10311,10533,10663,10780,10969,NaN,11173,11334,11515,NaN,NaN,11859,NaN,12064,12225,12405,12627,12749,12863,13058,13218,13333,13522,NaN,13726,13891
1897.5,2055.7,2209.5,2412.3,2601,2755.2,2954.6,3118,3276.4,3445.2,3599.8,NaN,NaN,3923.2,NaN,4160.1,4307.7,4474.6,4721.9,4849.1,4961.7,5122.9,NaN,5340.8,5516.4,5655.1,5918.4,6032.2,6159.9,6314.2,NaN,6534.8,6686.3,6855.3,NaN,NaN,7164.9,NaN,7401.3,7560.2,7716.5,7978.6,8096.5,8226.6,8381.6,8532,8673.9,8838.9,NaN,9051.4,9205.8,9374.3,NaN,NaN,9688.3,NaN,9914,10069,10233,10489,10604,10738,10902,NaN,11121,11278,11433,NaN,NaN,11769,NaN,12009,12162,12327,12586,12700,12825,12985,13130,13294,13447,NaN,13672,13820,13991
