n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c
1857.4,1992.2,2120.2,2276,2397.5,2600.1,2758.2,2889.7,3169.4,3315.1,3426.7,3617.5,3767.5,3932.1,NaN,NaN,4255,NaN,4455.6,4610.5,4793.5,5012.3,5138.6,5251.9,5430,5584.3,5745.2,NaN,NaN,6073,NaN,6271.3,6428.7,6596.2,6825.8,6947.2,7057.5,7245.9,NaN,7446.8,7601.8,7777.2,7995.2,8127.4,8243.9,8442.2,8595.8,8707.6,8913.4,9045.5,9158.9,9337,9491.8,9681.8,NaN,NaN,10016,NaN,10220,10378,10548,10770,10894,11006,11189,NaN,11389
1913.9,2076.9,2187,2346.3,2502.7,2661.4,2829.5,3001.9,3236.4,3389,3547.2,3718,3865.9,NaN,NaN,4184.7,NaN,4401.2,4552.6,4709.3,4969.5,5084.2,5214.6,5371,5529.1,5681.1,NaN,NaN,5993.4,NaN,6222.6,6392.3,6526.5,6777.3,6896.2,7019.3,7177.8,NaN,7393.9,7569.1,7703.1,7954.6,8066.1,8203.8,8362.3,8512.1,8668,8826.9,8982.3,9119.2,9278.4,9434.4,9590.3,NaN,NaN,9930.3,NaN,10167,10313,10476,10723,10841,10967,11127,NaN,11340,11449
