n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,n,n,e,a,b,c,x,g,n,n,e,a,b,c,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
1858.8,1991.6,2135.3,2358.8,2562.5,2710.4,2959.5,3127.8,3290.5,3569.5,3726,3860.8,4088.6,4252.4,4374.7,4701.3,4881.3,5001.7,5196.9,5355.2,5532.1,NaN,NaN,5887.1,NaN,6093.2,6253,6451.7,6681.2,6806.7,6925.3,7116.7,NaN,7321.1,7482.9,7682.8,NaN,NaN,8023.1,NaN,8228.7,8389.3,8577,8801.6,8925.8,9040.7,9230,NaN,9437,10221,10374,10492,10681,NaN,10897,11057,11232,11455,11583,11696,11893,NaN,12099,12320,12577,12715,12828,13018,13172,13338,NaN,NaN,13686,NaN,13889,14047,14221,14444,14569,14687
1902.3,2050.4,2185.3,2420.4,2621.1,2813,3027.4,3218.7,3392.9,3662.4,3795,3977.1,4156.3,4327.7,4490.9,4773,4956.1,5127.3,5298.5,5452.8,NaN,NaN,5790.8,NaN,6040.1,6193.6,6353,6632.2,6750.6,6880.9,7043,NaN,7267.7,7421.4,7583.2,NaN,NaN,7951.5,NaN,8174.8,8330.2,8491.1,8757.6,8875.4,9003.3,9161.6,NaN,9381.5,9495.7,10295,10446,10614,NaN,10832,11000,11158,11414,11526,11656,11821,NaN,12042,12186,12392,12646,12791,12947,13122,13283,NaN,NaN,13600,NaN,13832,13984,14150,14400,14518,14643,14810
