n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,n,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c
2060.4,2207.9,2386.2,2521.2,2738.4,2902,3022.8,3234.1,3383.2,3499.2,3679,3831,3988.9,NaN,NaN,4315,NaN,4515.2,4664.8,4834.4,5049.8,5171.4,5296.6,5487.5,NaN,5690.8,5847.8,6017.7,6232.9,6358.3,6471.3,6688.7,6826,6935.6,7111.4,NaN,7310.5,7470.8,7635,NaN,NaN,7957.9,NaN,8156.5,8315,8489.9,8704.1,8825.3,8937.3,9122.1,NaN,9321,9476.6,9662,NaN,NaN,10004,10139,10249,10433,NaN,10634,10791,10956,NaN,NaN,11329,11462,11575,11782,11973,12082,12261,NaN,12460,12618,12807,NaN,NaN,13170,13320,13430,13613,NaN,13815,13979,14169,NaN,NaN,14501,NaN,14706,14867,15044,15268,15393,15503,15693,NaN,15897,16103,16317,16504,16618,16804,NaN,17009,17169,17373,NaN,NaN,17740,17892,18010,18192,NaN,18396
2128.8,2265.5,2446.6,2621,2805.7,2969.6,3131.6,3298.8,3458.9,3620.4,3773,3927,NaN,NaN,4240.8,NaN,4463.1,4615.9,4774.6,5008.5,5121.2,5243,5419.2,NaN,5638.7,5795.1,5942.1,6190.1,6308.5,6431.6,6592,6758.5,6899.4,7054.6,NaN,7259.8,7411.8,7566.2,NaN,NaN,7887.8,NaN,8105.9,8279.3,8421.1,8665.7,8777.4,8895.9,9048.5,NaN,9270.1,9419.4,9576.5,NaN,NaN,9912.7,10070,10218,10373,NaN,10582,10733,10899,NaN,NaN,11212,11398,11533,11693,11851,12045,12201,NaN,12409,12586,12729,NaN,NaN,13057,13239,13395,13551,NaN,13763,13941,14087,NaN,NaN,14420,NaN,14651,14826,14980,15231,15340,15470,15624,NaN,15844,16001,16172,16386,16585,16742,NaN,16953,17115,17278,NaN,NaN,17627,17809,17964,18127,NaN,18345,18501
