n,n,n,n,e,n,n,e,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a
1984.9,2160.6,3107.2,3252.1,3384.3,3627.8,3805.2,3929.9,4140.4,4297,4421,4613.7,NaN,4820.6,4976.9,5151.1,5373.3,5501.1,5614.7,5802.6,5958.4,6120,NaN,NaN,6457.7,NaN,6662.7,6821.4,6987.2,7212.2,7338.3,7453.6,7643.4,7801,7975.7,NaN,NaN,8306.5,NaN,8509.7,8669.8,8862,NaN,NaN,9229.5,NaN,9432.7,9593.5,9775.8,9995.7,10121,10233,10436,10582,10699,10885,11039,11215,11436,11560,11674,11863
2047.2,2212.3,3170.9,3317.8,3485.7,3696.6,3872.4,4038,4207.9,4367.2,4539.6,NaN,4762,4909,5074.1,5327.4,5444.2,5575.6,5731.9,5902.1,6057.5,NaN,NaN,6370.1,NaN,6606,6753.6,6918.2,7166.7,7282,7411.8,7576.9,7737.2,7894.9,NaN,NaN,8227.2,NaN,8448.8,8608.3,8768.2,NaN,NaN,9126.1,NaN,9378.6,9529.3,9686.9,9949.4,10067,10193,10358,10507,10656,10821,10981,11135,11390,11505,11635,11797,11921
