n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a
2506.9,2653.6,2787.8,2931.4,3028.3,3103.1,3261.9,3434.4,3571.6,3789.2,3948.4,4077.4,4287.5,4438.8,4600.6,NaN,NaN,4929.7,NaN,5130.7,5287.5,5456.3,5673.2,5795.7,5907.1,6092.5,NaN,6294,6450.6,6613.8,NaN,NaN,6946.9
2564.7,2703.6,2856.2,2979.4,3059,3175.2,3321.2,3502.2,3674,3877,4021.1,4196.6,4392.1,4536.2,NaN,NaN,4860.4,NaN,5080.9,5246.3,5383,5629.1,5746.6,5871.8,6032.7,NaN,6240.9,6420.5,6553.4,NaN,NaN,6873.8,7032.1
