n,n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,n,n,e,a,b,c,x,g,n,n,n,n,e,c,x,d,m,p,n,n,e,n,n,e,a,b,c
1787,1963.1,2115.1,2280.8,2723.9,2901,3047.8,3308.6,3502.7,3637.2,3869.8,4034.7,4158.8,4371,4534.8,4655.3,4864.5,NaN,5070.9,5228.7,5397.9,NaN,NaN,5736.9,NaN,5937.3,6097.1,6268.3,6490.1,6622.6,6734.2,7610.8,7776.9,7893.4,8078.9,NaN,8281.1,8436.3,8594.5,NaN,NaN,8930.8,NaN,9135.3,9292.7,9455.1,9677.6,9803.8,9914.7,10104,10260,10420,NaN,NaN,10750,NaN,10951,11109,11279,11503,11634,11744,11931,NaN,12133,12293,12470,12689,12826,12965,13104,13216,13402,NaN,13608,13768,13955,14178,14315,14471,14617,14729,14914,15073,15240,NaN,NaN,15594,15748,15862,16069,16206,16320,16505,NaN,16713
1826.2,2031.1,2176.4,2333.1,2783.2,2964.7,3149.1,3372.5,3570.5,3742.6,3936.5,4105.4,4269.1,4440,4608.3,4777.2,NaN,5014.3,5175.8,5324.8,NaN,NaN,5649.9,NaN,5888.6,6035.4,6194.2,6447.6,6562.4,6696.2,6857.9,7678,7848.3,8017.3,NaN,8231,8377.1,8534,NaN,NaN,8850.6,NaN,9081.8,9226.2,9386.8,9633.3,9751.4,9876.3,10040,10206,10356,NaN,NaN,10674,NaN,10899,11052,11206,11456,11576,11713,11864,NaN,12080,12234,12391,12650,12761,12865,13051,13177,13339,NaN,13553,13708,13867,14136,14251,14362,14543,14691,14846,15015,15170,NaN,NaN,15495,15664,15821,15984,16160,16279,16441,NaN,16656,16806
