n,n,n,n,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,a,b,c,n
1976.3,2101.1,2261.2,2479,2642.9,2838.9,2948.3,3165.2,3308.8,3421.8,3602.9,NaN,3805.6,3964.1,4130.9,NaN,NaN,4465.4,NaN,4667.2,4824.3,4994.3,5212.2,5334.1,5447.2,5629.9,5783.7,5953.3,NaN,NaN,6302.3,6438.8,6554.3,6740.1,NaN,6940.3,7108.5
2039.7,2218.4,2324.6,2552,2712.6,2909.5,3057.9,3233.1,3382.7,3538.3,NaN,3752,3903,4067.5,NaN,NaN,4382.8,NaN,4611.4,4763.8,4922.2,5168.5,5283.4,5410.4,5569.1,5726.9,5885.8,NaN,NaN,6205.7,6372.2,6519.6,6673.2,NaN,6885.1,7045.6,7140.5
