n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n
4428,4609.3,4740.9,4968.8,5128.5,5252.4,5449.6,NaN,5659,5814.1,5977.8,NaN,NaN,6313.8,NaN,6518.5,6674.9,6846.1,7069.4,7208.2
4499.5,4676.7,4850.5,5037.2,5205.8,5374.7,NaN,5605.9,5762.5,5918.7,NaN,NaN,6241,NaN,6467.5,6619.2,6776.7,7028,7142.5,7259
