n,n,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n
6099.6,6367.8,6563,6744.6,6858.1,7105.4,7270.8,7386.4,7577.3,NaN,7777,7929.5,8099.6,8312.5,8435.4,8543,8719.6,NaN,8916.3,9068.1,9234.5,NaN,NaN,9555.8,NaN,9751.8,9905.1,10062,10275,10395,10503,10680,10832,10988,NaN,NaN,11307,NaN,11504,11659,11829,12045,12164,12275,12455,NaN,12654,12809,12972,13187,13308,13418,13642,13800,13929,14144
6305.1,6426.1,6618.1,6827.3,6963.7,7174.2,7341.5,7504.4,NaN,7725.8,7878.8,8023.3,8273.3,8383.5,8504.8,8662.2,NaN,8865.9,9018.7,9163.8,NaN,NaN,9485.7,NaN,9707.1,9868.4,10001,10236,10347,10472,10628,10799,10938,NaN,NaN,11236,NaN,11454,11624,11764,12004,12115,12238,12398,NaN,12604,12776,12907,13146,13260,13380,13538,13717,13868,14048,14206
