n,n,n,n,e,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,n,n,e,c,x,d,m,p,a,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c
2417.3,2536.7,2679,2861.5,2987.8,3216.2,3378.6,3499.5,3715.5,3870.3,3988.4,4168.5,NaN,4364.1,4518.1,4683.8,4906.3,5031.1,5139.4,5326.7,NaN,5525.5,5679.5,5809.8,NaN,NaN,6167.9,NaN,6364.6,6517.7,6682.2,6894.2,7016.7,7125.7,7321.3,7452.4,7560.7,7745.8,7897.2,8059.1,8148.3,8396.8,NaN,8594.7,8766.4,8904.6,9015.3,9198.1,9349.1,9509.9,NaN,NaN,9850.3,10110,10297,10405,10584,NaN,10786,10942,11104,11322,11443,11553,11738,NaN,11937,12093,12257,12477,12603,12714,12898,13023,13214,NaN,NaN,13543,NaN,13747,13906,14096,14326,14449,14560,14761,14917,15034,15217,NaN,15420,15579,15753,15970,16101,16214,16422,16560,16673,16859,NaN,17062,17222,17445,NaN,NaN,17807,18026,18138,18330,NaN,18545,18701,18876,19099,19228,19344,19532,NaN,19735,19900,20076,20309,20436,20552,20759,NaN,20970
2474.7,2607.3,2745.4,2932.8,3095.6,3284.8,3452.3,3637.9,3784,3946.4,4109.2,NaN,4315.3,4465.2,4614.7,4860.8,4979.2,5108.4,5272.8,NaN,5474.4,5628.3,5778.8,NaN,NaN,6091.2,NaN,6313.3,6462.3,6613.1,6854.8,6965.5,7092.6,7250.1,7403.5,7526.3,7686,7846.2,7997.3,8122.2,8302.9,NaN,8540.4,8670.4,8834.5,8978.2,9135,9296.4,9451.2,NaN,NaN,9777,10009,10221,10370,10529,NaN,10734,10891,11046,11282,11395,11522,11676,NaN,11887,12061,12191,12436,12554,12678,12834,12993,13151,NaN,NaN,13473,NaN,13689,13845,14004,14276,14398,14522,14680,14835,14989,15156,NaN,15367,15522,15678,15930,16046,16177,16336,16493,16635,16799,NaN,17007,17172,17324,NaN,NaN,17695,17874,18100,18266,NaN,18477,18635,18800,19059,19175,19303,19467,NaN,19691,19841,20001,20260,20372,20512,20674,NaN,20909,21017
