n,n,n,n,n,n,n,n,e,n,n,e,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
2643.4,2931.6,3149.2,3241.9,5514.4,5643.6,5772.6,5932.8,6049,6282.1,6444.1,6574.8,6774.4,7104.7,7303.1,7448.6,7560.3,7737.7,7891,8043.7,NaN,NaN,8362.3,NaN,8558.4,8713.5,8868.6,9084.1,9205.5,9312.5,9492.5,NaN,9689,9842.8,10001,10219,10340,10450,10653,10780,10887,11066,NaN,11262,11415,11579,NaN,NaN,11922,12051,12162,12348,12500,12661,12874,12996,13105,13285,NaN,13483,13640,13803,NaN,NaN,14122,NaN,14319,14473,14641,NaN,NaN,14978,NaN,15175,15330,15508,15724,15844,15953,16137,NaN,16334,16491
2809.8,2972.7,3183.4,3341.7,5581.8,5711.5,5839.8,5999.2,6156.4,6389.5,6510,6682.9,7034.4,7210.8,7372.1,7521,7677.8,7835.4,7985.2,NaN,NaN,8298.5,NaN,8507.7,8662.2,8816.8,9045,9156.8,9279.3,9429.7,NaN,9640.4,9773.3,9931.6,10177,10292,10410,10560,10723,10854,11006,NaN,11214,11381,11528,NaN,NaN,11826,11990,12129,12284,12468,12605,12836,12958,13072,13224,NaN,13429,13606,13744,NaN,NaN,14048,NaN,14271,14440,14579,NaN,NaN,14888,NaN,15123,15290,15427,15683,15797,15923,16067,NaN,16282,16416,16582
