n,n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,q,r
1808.2,1987.8,2137.2,2402.9,2553.8,2726.5,2875.8,3088.1,3283.1,3412.3,3627.8,3788.4,3905,4124.6,4264.8,4381.4,4569.3,4724.3,4892,NaN,NaN,5223.2,NaN,5423.5,5578.6,5753.8,5973.4,6097.4,6209.1,6401.3,NaN,6603.2,6765.4,6943.5,7163.2,7289.6,7399.6,7581.6,NaN,7787.1,7945.4,8113.9,NaN,NaN,8452.9,8583.6,8695.1,8874.8,9030.4,9193.4,NaN,NaN,9525.8,NaN,9723.4,9884.2,10044,10268,10392,10503,10687,NaN,10887,11047,11237,NaN,NaN,11564,NaN,11765,11951,12092,12204,12385,NaN,12584,12744,12904,13126,13251,13362,13544,NaN,13748,13907,14088,NaN,NaN,14446,14587,14699,14882,NaN,15083,15243,15421,NaN,NaN,15775,15914,16026,16212,16371,16548,16769,16892,17006,17199,NaN,17406,17569,17762,17839
1850.4,2049.4,2178.1,2473.8,2615.9,2794,2978.8,3153.2,3352.6,3523.5,3697.1,3860.1,4030.2,4192.9,4340.4,4509.8,4668,4833.9,NaN,NaN,5148.2,NaN,5373.5,5529.1,5675.2,5932.8,6046.7,6169.6,6320.1,NaN,6549.8,6723,6871.8,7121.6,7250.4,7368.1,7525.1,NaN,7734.7,7906.8,8050.1,NaN,NaN,8362.2,8523.3,8662.2,8815.5,8995.7,9139,NaN,NaN,9447,NaN,9672.6,9846.2,9992,10230,10353,10469,10623,NaN,10836,11007,11151,NaN,NaN,11487,NaN,11714,11847,12024,12169,12317,NaN,12535,12711,12854,13087,13218,13330,13487,NaN,13697,13872,14016,NaN,NaN,14341,14515,14666,14819,NaN,15032,15206,15353,NaN,NaN,15685,15847,15995,16161,16336,16481,16728,16851,16968,17127,NaN,17356,17534,17681,17807,17882
