n,n,n,n,n,n,n,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x
2560.8,2663.6,4233.6,4329,4788,4966.8,5063.3,5301.9,5471.5,5597.7,5876.6,6026,6146.6,6337.6,NaN,6537.3,6687.7,6845.2,7059.2,7180.6,7290.5,7491.8,7625.1,7737.1,7915.6,NaN,8113.8,8270.1,8426.8,NaN,NaN,8748.3,NaN,8946.1,9102.1,9261.1,9481.9,9603.9,9712.8,9921.6,10074,10187,10367,10522
2615.6,2728.4,4279.3,4412.7,4849.2,5031.5,5174.8,5439.9,5539.7,5700.8,5969.6,6095.5,6265.1,NaN,6483.2,6634.4,6783,7022.2,7129.9,7260.1,7409.8,7558.3,7700.1,7853.9,NaN,8065.1,8237.7,8375.8,NaN,NaN,8680.3,NaN,8897.5,9066.4,9199.8,9440,9555,9682.6,9835.4,10000,10147,10307,10472,10618
