n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,a,n
2178.1,2632.4,2821,2947.1,3271.3,3458.6,3588.6,3818.3,3973.4,4094.6,4280.3,4437.1,4617.1,NaN,NaN,4948.8,NaN,5155.6,5319.4,5502.3,5725.7,5854.1,5969.5,6158.9,NaN,6361.3,6518.5,6680.2,NaN,NaN,7015.3,NaN,7217,7376.1,7539.2,7765.6,7893.8,8007.8,8214.1,8550.6,8693.1,8806.5,8988.7,NaN,9188.2,9349.3,9524.3,NaN,NaN,9858.6,NaN,10060,10219,10393,10607,10733,10843,11027,NaN,11228,11387,11556,11784,12022,12204,12322,12506,NaN,12711,12868,13057,NaN,NaN,13389,NaN,13590,13755,13941,NaN,NaN,14297,14479,14590,14774,NaN,14979,15141,15343,NaN,NaN,15676,15930
2230.3,2688.2,2885,3051,3339.1,3528.1,3702.5,3924.9,4046.5,4211.9,4374.5,4538.9,NaN,NaN,4872.5,NaN,5097.6,5252.2,5416.4,5682.7,5795.6,5930.2,6093.6,NaN,6307.6,6463,6614.3,NaN,NaN,6933.2,NaN,7162.9,7320.8,7474.5,7717.9,7835.6,7967.1,8127.3,8284.7,8625.7,8764.6,8929.2,NaN,9135.4,9286.1,9447.9,NaN,NaN,9781.7,NaN,10007,10162,10316,10572,10681,10806,10966,NaN,11178,11325,11486,11733,11853,12091,12275,12445,NaN,12658,12810,12972,NaN,NaN,13306,NaN,13537,13692,13855,NaN,NaN,14193,14367,14551,14708,NaN,14916,15078,15241,NaN,NaN,15601,15826,16003
