n,n,n,n,n,e,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
5744.2,5915.1,6064.1,6225,6526.1,6656.9,6864.7,7027.5,7155.9,7358.3,7505.9,7615.4,7797.8,NaN,7992.4,8145.6,8310.2,NaN,NaN,8635.3,NaN,8833.6,8987.1,9149.5,9363.4,9484.9,9594.7,9792.9,9929.7,10038,10215,10366,10518,NaN,NaN,10838,NaN,11035,11187,11348,11561,11681,11790,11967,NaN,12162,12317,12476,NaN,NaN,12811,12953,13061,13255,NaN,13451,13606,13765,13984,14107,14215,14398,NaN,14598,14755,14919,NaN,NaN
5785.5,6015,6121.5,6421.8,6593.5,6767.2,6934.2,7097.8,7264.1,7424.5,7576,7732.9,NaN,7942,8093.6,8246.8,NaN,NaN,8563.2,NaN,8780.3,8926.8,9083,9324,9434.2,9556,9714.6,9861.3,10004,10156,10330,10459,NaN,NaN,10762,NaN,10986,11133,11282,11524,11634,11756,11913,NaN,12111,12264,12411,NaN,NaN,12723,12875,13026,13179,NaN,13402,13551,13704,13945,14055,14179,14336,NaN,14546,14702,14853,NaN,NaN,15169
