n,n,n,n,n,e,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1856.3,1991.1,2141,2341.2,2522,2658.4,2884.2,3036.2,3185.3,3413.2,3583.3,3710.4,3900.4,NaN,4108.9,4262.7,4437.6,4656.9,4781.2,4896.6,5080.2,NaN,5281.2,5444.2,5607.2,NaN,NaN,5940,NaN,6142.9,6302.7,6478.7,6700.1,6823.9,6935.2,7141.4,NaN,7342.9,7501.8,7670.5,NaN,NaN,8006.7,NaN,8205,8363.3,8531.1,8751.2,8871.8,8982.9,9164.8,NaN,9365.3,9526.5,9693.4,NaN,NaN,10023,NaN,10224,10385,10550,10771,10892,11005,11188,NaN,11392,11552,11731,NaN,NaN,12069,NaN,12272,12432,12602,12887,13044,13155,13345,NaN,13548,13709,13905,NaN,NaN,14259
1890.6,2083,2189.7,2405.3,2583,2761.5,2947.8,3123.3,3296.8,3480.4,3659.3,3833.4,NaN,4048.3,4212.7,4358.8,4613.4,4724.8,4855.3,5017.1,NaN,5229.9,5388,5554,NaN,NaN,5859.6,NaN,6091.3,6265.1,6412.9,6661.3,6776.6,6897.8,7058.8,NaN,7291.6,7464,7609.4,NaN,NaN,7925.5,NaN,8155.4,8328.8,8461.7,8705.7,8826.7,8950.5,9093.9,NaN,9313.3,9473.2,9638.5,NaN,NaN,9946.5,NaN,10173,10350,10493,10734,10845,10964,11116,NaN,11340,11514,11660,NaN,NaN,11985,NaN,12220,12397,12544,12786,12958,13123,13277,NaN,13498,13673,13811,NaN,NaN,14160,14329
