n,n,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a
1830.1,1980,2121.9,2290.8,2421.6,2666.8,2831.1,2954.8,3141.8,NaN,3346.4,3504.6,3697.9,NaN,NaN,4035.6,NaN,4236.8,4397.1,4566.3,4787.8,4913.1,5030.6,5211.2,NaN,5414.4,5573,5734.1,NaN,NaN,6080.7,6225.6,6340.2,6568.2,6714.6,6827.6,7006,7165.4,7332.6,NaN,NaN,7662.4,NaN,7863.2,8021.9,8196.5,8419.2,8543,8654.7,8833,NaN,9034.4,9193.2,9354.6,NaN,NaN,9690.4
1875.3,2045.5,2187.1,2359.2,2527.6,2735.3,2904.2,3074.8,NaN,3292,3446,3603.5,NaN,NaN,3947.7,NaN,4181.9,4336,4491.3,4748,4863.8,4988.2,5149.4,NaN,5361.7,5514.4,5670.7,NaN,NaN,5996.9,6148.9,6303.8,6466.3,6636.5,6786.4,6957.5,7127.8,7274.9,NaN,NaN,7586.2,NaN,7813,7965.8,8122.8,8374.4,8507.2,8623.7,8771,NaN,8985.7,9140.4,9295.3,NaN,NaN,9615.4,9827.7
