n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p
1828.2,1982.7,2164.9,2308.2,2580.5,2757.8,2895.4,3121,3300.5,3429.3,3640,3786.3,3905.1,4102.6,4258.6,4428.2,NaN,NaN,4778.2,NaN,4981.4,5138.5,5304.8,NaN,NaN,5662.2,NaN,5865.5,6022.8,6211.3,6433.3,6560.5,6674.7,6892.7,7045.7,7160.2,7348.5,7507.1,7672,NaN,NaN,8013.3,NaN,8219.6,8468.8,8644.2,8757.6,8951.4,NaN,9157.5,9320.8,9493.3,9716.5,9843.8,9959.2,10148,10307,10477,NaN,NaN
1894,2044.8,2227.4,2409.9,2645.2,2826.9,2996.8,3190.7,3370.4,3549.3,3709.4,3858.2,4029.3,4202.6,4352.7,NaN,NaN,4679.6,NaN,4930.3,5077.9,5239.2,NaN,NaN,5561.4,NaN,5814.2,5964.1,6124.9,6386.5,6505.4,6633.2,6796.6,6962.3,7120.8,7277.4,7450.3,7607.6,NaN,NaN,7922.7,NaN,8161.2,8312.9,8539.6,8718.5,8879.7,NaN,9101.8,9249.4,9426.7,9672.8,9787.5,9917.1,10079,10244,10406,NaN,NaN,10728
