n,n,n,n,n,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n
1830.8,1983.2,2885.6,3006.5,3125.8,3412.9,3608.5,3748.1,4013.8,4176,4303.3,4512.5,NaN,4721.3,4882.7,5058.9,NaN,NaN,5400.9,NaN,5609.7,5768,5959.3,6178.3,6307.3,6421.1,6611,6768.7,6927.4,NaN,NaN,7267.4,NaN,7472.8,7632.6,7809.7,8033.5,8160.5,8274.8,8466.3,NaN,8670.7,8834.4,9007.9,NaN,NaN,9345.4,NaN,9549.8,9710.4,9885,10110,10236,10349,10534,NaN,10740,10901,11078,NaN,NaN,11435,11572,11684,11869,12028,12193,NaN,NaN,12531,NaN,12737,12896,13068,13294,13417,13532,13721,NaN,13928,14089,14261,NaN,NaN,14616,14747,14861,15049,NaN,15257,15419,15591,NaN,NaN,15955,16106,16221,16421,16582,16764,16990,17119,17234,17424,NaN,17628,17793,17964,18196,18327,18449,18639,NaN,18846,19014,19213,NaN,NaN,19572,19709,19823,20012,NaN,20221,20381,20574,NaN,NaN,20961
1873.7,2044.5,2933.8,3079.8,3211,3477.2,3677.2,3851.8,4081.3,4244.8,4422.2,NaN,4660,4824.5,4976.2,NaN,NaN,5313.6,NaN,5553.5,5710.4,5865,6135.3,6250.5,6382.2,6543.6,6734.4,6868.1,NaN,NaN,7185.5,NaN,7420.3,7567.9,7738.3,7990.7,8107.6,8236,8394.7,NaN,8618.6,8781.1,8944.5,NaN,NaN,9264.2,NaN,9498.6,9655.3,9813.5,10070,10183,10316,10471,NaN,10689,10868,11002,NaN,NaN,11339,11502,11645,11805,11968,12128,NaN,NaN,12454,NaN,12686,12863,12999,13250,13368,13498,13655,NaN,13875,14030,14192,NaN,NaN,14518,14686,14825,14986,NaN,15199,15358,15528,NaN,NaN,15854,16026,16186,16344,16521,16698,16940,17083,17200,17360,NaN,17576,17728,17909,18147,18269,18410,18569,NaN,18791,18971,19128,NaN,NaN,19470,19641,19792,19943,NaN,20163,20344,20494,NaN,NaN,20833,21025
