n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1872.2,1993.1,2134.5,2473.8,2640.5,2761.2,3002.7,3176.1,3300.7,3490.2,3645.7,3811.6,NaN,NaN,4153.3,NaN,4366,4526.8,4724.4,4948,5072.9,5190.7,5390.5,NaN,5596.5,5754.8,5931.8,6150.1,6274.1,6388.2,6570.6,NaN,6773.2,6933.4,7106.8,NaN,NaN
1922,2056.6,2188.5,2538.4,2703.8,2866.7,3072.3,3252.6,3420.4,3587.3,3740.8,NaN,NaN,4068,NaN,4304.2,4465.4,4621,4903.3,5019.2,5147.5,5309.8,NaN,5539.1,5716.3,5857.5,6108.4,6223.5,6349.2,6509.1,NaN,6721.4,6868,7029.6,NaN,NaN,7352.9
