n,n,n,n,n,e,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n
6859.8,6963.8,7145.3,7353.9,7538.7,7667.7,7889.6,8072.5,8194.1,8400.8,8550.3,8674.4,8861.3,NaN,9061.1,9216.6,9380.2,NaN,NaN,9731.2,NaN,9929.8,10081,10250,10464,10587,10698,10884,11037,11193,NaN,NaN,11519,NaN,11719,11882,12048,12274,12393,12505,12690,NaN,12889,13046,13209,NaN,NaN,13552,NaN,13751,13907,14074,14297,14421,14534,14737,14880,14996,15182,NaN,15383,15542,15706,15925,16049,16159,16342,NaN,16545,16704,16879,NaN,NaN,17218,NaN,17416,17571,17735,17962,18086,18197,18416,18571
6922.9,7057.7,7206.2,7422.4,7607.8,7774.8,7959,8141.8,8310.4,8471.8,8625.7,8789,NaN,9005.7,9163.2,9324.7,NaN,NaN,9636.2,NaN,9880.7,10027,10180,10425,10536,10661,10820,10981,11135,NaN,NaN,11446,NaN,11671,11818,11978,12224,12340,12466,12624,NaN,12838,12993,13144,NaN,NaN,13462,NaN,13699,13850,14002,14254,14371,14495,14652,14805,14951,15117,NaN,15331,15484,15642,15885,15998,16120,16283,NaN,16492,16649,16802,NaN,NaN,17136,NaN,17363,17516,17669,17911,18035,18161,18317,18486,18620
