n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p
6405.7,6557.8,6716.4,6902.4,7090.5,7207.7,7435.5,7609.2,7740.2,7940.5,8086.8,8196.4,8380,8529.1,8687,NaN,NaN,9006.3,NaN,9202.7,9355.5,9520.1,9733,9855,9963.2,10148,NaN,10343,10497,10660,10874,10997,11107,11284,NaN,11482,11637,11801,NaN,NaN,12165,12300,12408,12589,NaN,12786,12942,13143,NaN,NaN
6502.6,6639.3,6768.3,6973.4,7155.3,7334.9,7502.4,7679.9,7856.8,8009.3,8159.4,8317.6,8472.8,8633.8,NaN,NaN,8935.7,NaN,9151.8,9318.7,9448.3,9694.2,9807,9933.1,10076,NaN,10294,10447,10594,10835,10946,11071,11223,NaN,11432,11584,11741,NaN,NaN,12048,12237,12373,12530,NaN,12736,12908,13039,NaN,NaN,13390
