n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c
1965.2,2108.2,2969.5,3117,3282.2,3539.4,3703.1,3854.6,4160.2,4349.9,4481.4,4711.9,4873.7,5002.2,5198.8,5356.2,5529.5,NaN,NaN,5878.6,NaN,6085.2,6246.8,6444.5,6670,6796.7,6913.2,7111.9,NaN,7316.5,7476.4,7645.3,7870.8,7996,8112.3,8303,NaN,8508.2,8669.2,8858.8,NaN,NaN,9196.1,NaN,9400.3,9560.1,9725.5,9950.1,10077,10192,10390,NaN,10596,10758,10941,11166,11288,11405,11587,NaN,11795,11956,12125,NaN,NaN,12490,12631,12747,12936,13095,13297,NaN,NaN,13644,NaN,13848,14011,14186,NaN,NaN,14553,14712,14824,15012,NaN,15216
2013.5,2166.6,3014.4,3179.2,3329.8,3603.8,3766.8,3957.4,4222.2,4418.1,4590,4783.8,4947,5119.2,5291.2,5454.7,NaN,NaN,5788.5,NaN,6027.4,6184.2,6343,6622.9,6742.2,6871.6,7035.7,NaN,7261.8,7415.2,7576.7,7830.2,7940.6,8072,8234.3,NaN,8455.7,8613.9,8771.4,NaN,NaN,9117.2,NaN,9344.8,9522.4,9658.9,9904.7,10023,10156,10311,NaN,10539,10694,10861,11121,11234,11365,11526,NaN,11741,11918,12059,NaN,NaN,12388,12558,12704,12867,13038,13198,NaN,NaN,13553,NaN,13792,13953,14114,NaN,NaN,14448,14620,14786,14946,NaN,15161,15311
