n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n
2825.1,2961.2,3145.4,3377.2,3548.1,3671,3909.9,4061.5,4180.5,4382.1,4521.5,4628.8,4817.4,4966.9,5122.8,NaN,NaN,5442.9,NaN,5637.8,5790.8,5953,6164.4,6283.7,6392.9,6569.8,6720.8,6873,NaN,NaN,7188.6,NaN,7381.6,7535.2,7695.1,7908.8,8025.5,8135.3,8314.6,NaN,8510.5,8664.3,8823.7,NaN,NaN,9145.9,NaN,9341.8,9496.5,9656.9,9869.8,9992.3,10100,10284,NaN,10478,10631,10795,11008,11128,11238,11435,11567,11673,11850,NaN,12048,12202,12371,12593,12718,12829,13029,13183,13291,13471,NaN,13667,13822,13989,NaN,NaN,14314,NaN,14512,14667,14826,15044,15166,15277,15462,NaN,15659,15817,16004,NaN,NaN,16345,NaN,16552,16712,16898,17125,17275,17412,17523,17709,NaN,17912,18078,18282,NaN,NaN,18642,18805,18917,19112,NaN,19315,19475,19655,19873,20001,20118,20362,20515,20624,20807,20962,21131,21354,21517
2882.7,3015.7,3210.5,3466.2,3612.7,3865.7,3982.3,4134.3,4297.4,4448.2,4595.8,4749.7,4918.8,5063.2,NaN,NaN,5374,NaN,5590.1,5757.4,5897.1,6126.1,6235.7,6357.4,6513.5,6669.4,6817.3,NaN,NaN,7122.5,NaN,7332.5,7484.6,7626.8,7872.1,7978.4,8103.6,8246.8,NaN,8460.5,8628.1,8768.9,NaN,NaN,9066.8,NaN,9291,9420.9,9583.5,9830.3,9940.2,10066,10222,NaN,10430,10582,10726,10967,11080,11203,11357,11503,11640,11794,NaN,11998,12167,12312,12545,12656,12799,12948,13097,13255,13410,NaN,13615,13765,13931,NaN,NaN,14238,NaN,14458,14635,14761,15001,15115,15240,15391,NaN,15609,15782,15926,NaN,NaN,16249,NaN,16499,16652,16821,17075,17177,17342,17485,17644,NaN,17854,18015,18177,NaN,NaN,18536,18707,18878,19042,NaN,19260,19438,19571,19832,19942,20073,20240,20430,20588,20748,20930,21070,21310,21441,21583
