n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n
1869.2,1982,2129.8,2564.9,2714.3,2844.9,3068.2,3226.3,3361.8,3591.7,3766.8,3925.9,4155.5,4320.2,4442,4635.8,4786.7,4951.1,NaN,NaN,5274.9,NaN,5476,5741,5882.6,5993.9,6175.7,NaN,6378.8,6535.8,6701.6,6920.7,7042.6,7152.4,7340.2,7494.5,7659.2,NaN,NaN,7988.7,NaN,8188.8,8346.4,8514.8,8732.8,8853.8,8967.5,9150.2,NaN,9348.2,9506,9670.8,NaN,NaN,9992.2,NaN,10195,10353,10529,10749,10872,10984,11168,NaN,11367,11523,11699,11920,12043,12156,12336,NaN,12536,12692,12859,13080,13206,13323,13527
1910.4,2071.8,2178.9,2655.3,2777.1,2948.5,3150.5,3294.3,3474.7,3658.1,3836.4,4042.6,4228.6,4392.4,4564.5,4729.5,4882.2,NaN,NaN,5197.8,NaN,5419.8,5553,5807.4,5954.2,6119,NaN,6326.4,6480.3,6642.5,6880.6,6991.8,7116.6,7275.8,7418.5,7589.4,NaN,NaN,7907.2,NaN,8136.3,8314.2,8443.8,8690.8,8802.2,8927.7,9091.6,NaN,9299.2,9445.8,9604.6,NaN,NaN,9920.1,NaN,10143,10293,10452,10709,10822,10947,11106,NaN,11318,11462,11622,11875,11991,12118,12276,NaN,12486,12631,12792,13036,13150,13279,13442,13599
