n,n,n,n,e,n,n,e,n,n,e,a,b,c,x,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c
1982.4,2118.1,2306,2468.6,2616.3,2896.4,3069.4,3192.3,3415.2,3573.3,3700.7,3891.9,NaN,4096.3,4253.5,4676,4839.6,4956.3,5152.5,NaN,5358.3,5519.3,5697.5,5918,6042.5,6155.7,6347.9,6503.2,6667.2,NaN,NaN,6999.1,NaN,7202.3,7360.3,7532,7753,7879.2,7993.9,8202.5,8339.9,8452.9,8640.5,8793.7,8973.6,NaN,NaN,9313.7,NaN,9514.2,9674.1,9838.1,10061,10187,10300,10507,10650,10764,10960,11119,11285,NaN,NaN,11627,NaN,11830,11995,12164,12391,12514,12628,12811,NaN,13021
2025.8,2159.5,2410.7,2532.2,2715.4,2960.2,3138,3297.8,3482.3,3644.6,3820.2,NaN,4041.4,4194.8,4350.1,4747,4913.3,5076.2,NaN,5301,5455.4,5615.4,5876.1,5989.2,6114.7,6270.7,6443.7,6598.5,NaN,NaN,6918,NaN,7146,7300.5,7458.7,7706.8,7824.8,7952.5,8109.5,8268.8,8414.2,8567.9,8738,8894.6,NaN,NaN,9225.7,NaN,9461.8,9618.5,9773.5,10014,10123,10260,10420,10580,10724,10889,11058,11217,NaN,NaN,11538,NaN,11776,11932,12092,12344,12462,12588,12747,NaN,12962,13082
