n,n,n,n,n,n,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c
1867.7,1975.3,2175.7,2583.5,2789.8,2932.8,3161.4,3328.6,3464.1,3692.2,3855.8,3979.5,4176.8,4334,4509.3,4735.3,4859.3,4977.7,5184.8,5332.9,5448.7,5634,5790.2,5971.8,NaN,NaN,6306.7,NaN,6508.2,6667.1,6841.9,7063.3,7189,7302.2,7487.3,NaN,7685.9,7846.5,8016.1,8236,8357.6,8475.3,8685.1,8832.5,8942.9,9136.8,9295.4,9474.7,NaN,NaN,9820.8,9956.9,10072,10254,10407,10572,NaN,NaN,10901,NaN,11103,11260,11437,NaN,NaN,11781,NaN,11980
1906.4,2032.7,2237,2642.6,2838.9,2988,3225.7,3394.2,3563.8,3752.8,3927.4,4098.6,4264.8,4428.1,4685.2,4800.3,4929.3,5095.9,5252.4,5406.4,5566.8,5725.3,5886.8,NaN,NaN,6216.2,NaN,6457.7,6607.6,6763.3,7020.8,7132.1,7262.9,7423.9,NaN,7634.5,7788.4,7942.7,8194.7,8305.8,8426.7,8597.1,8750.4,8901.5,9065.8,9232.2,9396,NaN,NaN,9723.8,9887.4,10029,10190,10350,10505,NaN,NaN,10820,NaN,11048,11204,11362,NaN,NaN,11689,NaN,11925,12076
