e,h,e,h,e,h,h,h,h,f,c,b,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,f,f,c,g,j,d,d,c,b,k,h,h,h,h,h,e,h,f,c,b,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,l,h,h,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,h,h,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,h,e,h,h,h,l,f,f,c,g,j,d,d,c,b,k,f,c,b,k,h,h,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h
2668.3,2849.8,2992.5,3185,3334,3743.1,3952.7,4155.6,4351.8,4519,4621,4700,4870.5,5021.6,5125.2,5203.9,5325.1,5488,5609,5714.2,5828.2,5913.4,6014.7,6131.3,6241.6,6317.6,6482.4,6675,6831.3,6956.3,7053.3,7174.9,7281.3,7360.7,7496.6,7645.6,7768.2,7892.4,8007.9,8109,8222,8310.1,8412.7,8534.5,8639.3,8720.5,8867.3,9087.1,9434,9592.5,10114,10280,10463,10596,10733,10840,10921,11252,11412,11534,11630,11750,11860,11944,12146,12297,12418,12521,12639,12726,12828,12905,13030,13243,13417,13586,14098,14255,14406,14547,14660,14741,14884,15046,15170,15274,15392,15482,15582,15662,15866,16054,16215,16330,16431,16553,16667,16745,17274,17459,17635,17801,18065,18146,18272,18420,18542,18660,18738,19048,19246,19411,19533,19633,19753,19865,19943,20424,20604,20765,20971,21138,21703,21888,22106,22342,22464,22574,22693,22785,22890,23010,23120,23204,23565,23714,23828,23910,24045,24275,24437,24557,24659,24735,24909,25075,25196,25306,25424,25513,25616,25740,25852,25929,26303,26493
2739.7,2882.2,3074.5,3222.2,3384.3,3800.5,4003.5,4209.8,4409.3,4585.7,4680.3,4743.5,4907.1,5089.4,5184.9,5247.2,5395.2,5557,5682.2,5777.6,5883.2,5965.3,6110,6214.5,6303.4,6372.3,6557,6719.6,6878.3,7010.9,7157.6,7258.8,7342.7,7412.7,7568.5,7720,7842.2,7962.9,8077.4,8169.4,8270.2,8356.5,8512.3,8612.3,8705.3,8769.6,8940.8,9131.3,9480.7,9633.1,10156,10320,10523,10642,10805,10910,10975,11302,11463,11592,11729,11833,11923,11993,12218,12370,12490,12587,12694,12780,12892,12956,13107,13289,13462,13671,14144,14303,14458,14624,14727,14799,14954,15120,15246,15338,15447,15533,15644,15712,15935,16101,16259,16380,16536,16644,16734,16792,17318,17507,17682,17860,18133,18207,18349,18497,18618,18724,18789,19122,19292,19455,19584,19731,19840,19931,19999,20472,20654,20813,21029,21188,21750,21934,22253,22415,22537,22640,22753,22843,22988,23099,23182,23251,23636,23790,23891,23954,24119,24324,24486,24611,24724,24794,24985,25147,25273,25371,25475,25566,25717,25828,25920,25984,26343,26529
