h,e,h,h,l,f,c,b,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,l,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,e,c,h,j,d,d,c,k,h,h,l,k,f,c,g,j,d,d,c,b,k,f,f,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,h,h,j,c,b,k,f,h,h,h,h,f,c,b,k,f,f,f,c,g,j,d,d,c,b,h,h,k,h,h,j,d,d,c,b,h,h,e,c,b,k,f
706.77,864.96,1121.4,1521.9,1795.3,1993,2106,2181.4,2409,2560.5,2714,2820.3,2899.2,3061,3223.1,3372,3482,3596.9,3685.8,3793.1,3912,4025.5,4105.1,4257.8,4465.3,4671.3,4864.1,5014.3,5140.5,5245,5361.8,5450.6,5551.1,5673.8,5791.2,5868.6,6060,6307.3,6473.8,6602.4,6702,6821.4,6933.9,7013.2,7344.7,7538.5,7646.2,7762,7849.7,7952.2,8067,8187.4,8406.4,9313.1,9476,9671,9872.9,10021,10130,10242,10331,10438,10562,10676,10755,10933,11082,11201,11326,11450,11554,11672,11763,11865,11984,12101,12179,12338,12492,12641,12746,12862,12952,13057,13132,13464,13612,13730,13833,13910,14041,14206,14864,15029,15518,15674,15822,15937,16018,16146,16307,16429,16560,16668,16784,16874,16977,17099,17216,17295,17890,18073,18444,18632,18785,18913,19015,19139,19253,19334,19866,20041,20396,20506,20589,20724,20868
745.12,927.28,1171.8,1635.6,1859.9,2065.5,2159.9,2225.4,2439.7,2612.9,2785.2,2887,2951.1,3132,3296.1,3444.7,3548.9,3651.9,3739.7,3888,4001.2,4090.2,4161.4,4331.2,4510.2,4771.8,4933.5,5089.9,5214.8,5312.7,5415.3,5501.5,5651.4,5763.1,5847.4,5909.6,6126.2,6348.5,6514.4,6646.6,6801.3,6907.2,7000.9,7064.5,7392.8,7577.4,7716.9,7817.4,7903.6,8050.8,8148.9,8242.9,8474.4,9352.3,9525.9,9804.7,9945.3,10099,10197,10297,10385,10539,10649,10744,10803,11001,11158,11278,11407,11525,11615,11726,11815,11963,12072,12170,12234,12410,12567,12717,12816,12917,13003,13122,13184,13509,13662,13783,13898,13964,14119,14270,14905,15075,15563,15721,15901,16005,16074,16224,16380,16503,16637,16732,16839,16925,17081,17179,17277,17346,17930,18118,18520,18677,18832,18965,19111,19226,19316,19383,19899,20084,20444,20566,20636,20794,20939
