e,e,h,f,c,b,k,f,f,l,k,f,c,g,j,d,d,c,b,k,h,h,l,k,f,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,f,c,g,j,d,d,c,b,k,h,h,h,h,h,j,d,d,c,b,h,j,d,d,c,b,k,f,f,h,h,c,h,j,d,d,c,b,h,h,h,j,d,d,c,b,h,h,h,h,l,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1780.8,2518.3,2858.9,3008.1,3113.1,3195.2,3343.8,3492.9,3616.4,3794.5,3982.6,4144.4,4250.4,4365.3,4456.9,4560.3,4684.8,4802.2,4877.8,5016.7,5257.3,5428,5610.4,5840.5,5990,6113.1,6247.5,6354.5,6437.2,6572,6765.4,6935.3,7056.2,7154.4,7277.6,7392.1,7467.9,7636.7,7797.9,7920.8,8058.5,8161.5,8280.5,8373.3,8478.3,8601.4,8714.8,8796.1,9020,9241.1,9532.5,9717.9,9894,10061,10179,10281,10406,10521,10602,11179,11300,11400,11521,11633,11718,11886,12043,12172,12448,12642,12922,13035,13126,13228,13353,13475,13551,14386,14746,14942,15080,15180,15305,15423,15498,16198,16369,16588,16749,16990,17186,17345,17471,17578,17662,17807,17958,18087,18197,18314,18403,18511,18635,18756,18835
1832.7,2572.8,2898.6,3078.7,3175.4,3240.3,3411.1,3567,3690.2,3909.1,4049,4217.5,4316.3,4421.2,4506.4,4662,4766.8,4858.3,4924.8,5087.5,5300.5,5475.3,5750.7,5906.9,6063.8,6187.6,6322.2,6414.2,6478.4,6642.1,6799.2,6972.6,7100.9,7252.1,7360.1,7450,7517.4,7705.6,7871.5,7999.2,8135.4,8223.8,8335.1,8423.8,8576.5,8687.1,8779.7,8847.1,9092.5,9284.5,9563.3,9761.5,9939.7,10105,10232,10381,10494,10583,10644,11215,11346,11499,11608,11697,11763,11956,12115,12247,12490,12678,12983,13086,13171,13331,13437,13531,13602,14422,14780,14986,15131,15278,15389,15480,15546,16250,16410,16624,16807,17066,17254,17421,17546,17640,17708,17874,18031,18165,18259,18369,18455,18613,18722,18815,18875
