e,h,e,h,f,c,b,f,f,c,b,k,f,c,g,j,d,d,c,b,h,f,f,c,b,k,f,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,h,h,h,j,c,h,h,f,c,e,h,f,f,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,l,k,f,f,c,g,j,d,d,c,b,k,h,h,j,c,b,k,f,f,c,g,j,c,b,h,h,j,d,d,c,b,k,h,l,h,h,h,j
1823.8,1980.9,2180.1,2371.1,2517.4,2620.1,2696.8,3004.3,3118.9,3225.8,3299,3434.3,3579.5,3681.5,3793.2,3882,3980.1,4098.3,4207.9,4281.8,4680.5,4816.2,4938.5,5040.3,5125.1,5259.8,5406.1,5529.4,5658.8,5755.2,5867.8,5954.9,6058.2,6168.5,6278.2,6353.9,6537.1,6715.8,6831.6,6929.8,7048.6,7158.6,7239.1,7884.5,8048.7,8214.7,8328.8,8427.7,8806.3,8965.4,9082.3,9188.1,9437.8,9584.4,9720.1,9838.3,9935.3,10016,10138,10285,10403,10520,10595,10726,10883,10998,11107,11216,11306,11410,11485,11638,11865,12039,12258,12415,12538,12645,12761,12850,12958,13080,13201,13276,13493,13687,13872,13994,14096,14173,14326,14485,14617,14725,14853,14941,15044,15123,15307,15479,15603,15701,15824,15940,16015,16272,16490,16704,17089,17249,17437,17556
1874.7,2030,2231.4,2404.8,2586.7,2680.1,2742,3075.5,3191.2,3287.9,3356.5,3506.4,3654.6,3744.2,3844.1,3930.9,4075.1,4179.8,4264.2,4335.9,4722.3,4886.9,5009,5105.1,5179.2,5334,5480.1,5602.3,5730.7,5815.9,5916.3,6001.7,6150.2,6252.8,6339.6,6407.4,6585.9,6761,6881.3,7024.7,7132.8,7219.3,7281.4,7936.8,8084.8,8252.8,8374.1,8496.4,8844.5,8996.1,9157.2,9256.2,9490.6,9637.4,9798.6,9914.4,9995.8,10063,10210,10359,10474,10576,10639,10765,10955,11074,11174,11274,11358,11470,11536,11712,11911,12181,12334,12489,12614,12708,12812,12900,13055,13165,13258,13331,13569,13735,13922,14049,14165,14230,14401,14559,14690,14793,14910,14993,15105,15174,15352,15523,15650,15798,15908,15998,16062,16349,16537,16739,17132,17290,17478,17607
