h,e,h,e,h,h,f,c,b,k,f,f,h,f,h,f,c,b,k,f,f,f,c,g,j,d,d,c,b,k,f,f,f,c,g,j,d,d,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,h,h,f,f,c,b,k,f,f,h,h,l,k,f,f,c,g,j,c,b,k,h,j,d,d,c,b,h,l,k,f,f,f,c,b,k,h,h,j,d,d,c,b,h,h,j,d,d,c,b,k,h,j,c,b,h,f,c,g,j,d,d,c,b,h,h,f,f,f,c,g,j,d,d,c,b,h,j,d,d,c,b,h,h,e,f,c,b,k,f,f,f,c,g,j,d,d,c,b
1534.9,1818.9,1961.8,2305.1,2466.1,2614.8,2753.2,2859.9,2937,3069.3,3221,3343.3,3947.5,4094.7,4383.5,4528.1,4632.2,4709.4,4848.4,5002,5121.2,5249.7,5352.6,5468.1,5554.2,5655.1,5775.3,5882,5962.4,6103.7,6248.3,6375.5,6511.8,6620.3,6733.1,6820.1,6925.8,7044.7,7153.5,7231,7389.4,7587.6,7753.2,7880.1,8012.2,8118.8,8234.4,8321.6,8426.6,8551.8,8663.6,8744.9,8905.2,9101.3,9259.9,9383.5,9512.8,9618.8,9698.4,9854.3,10009,10129,10397,10575,10763,10920,11080,11211,11315,11442,11531,11633,11712,11860,12064,12374,12472,12595,12709,12790,13181,13365,13550,13700,13828,13951,14060,14141,14283,14498,14671,14794,14894,15013,15125,15207,15513,15686,15806,15905,16024,16137,16215,16422,16851,16980,17084,17161,17511,18038,18148,18264,18356,18461,18585,18694,18778,19662,19840,19982,20105,20237,20344,20462,20553,20657,20778,20895,20975,22309,22437,22536,22664,22783,22859,23411,23618,23824,24106,24214,24297,24441,24589,24724,24842,24950,25062,25156,25261,25388,25506,25584
1579.6,1856.3,2031,2346.4,2498.6,2647.5,2824,2922.9,2989.9,3145.2,3293.4,3408.8,3989.9,4164.6,4429.2,4595.9,4692.1,4765.7,4922.8,5071.7,5196.5,5318.4,5416.2,5520.2,5599.7,5753,5855.6,5941.4,6005.6,6169.9,6321.4,6446.6,6583.7,6679.6,6783.8,6874.2,7023.5,7126.2,7216.4,7285.3,7462.9,7633,7801.4,7954.2,8086.7,8184.5,8290,8369,8522.4,8633.5,8725.9,8791.2,8942.8,9143.6,9300.5,9458.2,9589,9684.2,9752.7,9928.8,10080,10203,10451,10629,10855,10998,11154,11286,11376,11497,11583,11692,11765,11930,12108,12423,12570,12684,12769,12831,13213,13433,13623,13776,13903,14028,14122,14190,14355,14541,14714,14845,14990,15098,15184,15255,15548,15731,15851,16001,16106,16196,16265,16495,16899,17034,17150,17219,17549,18109,18207,18315,18405,18562,18670,18757,18819,19695,19879,20051,20178,20308,20403,20502,20597,20755,20861,20956,21025,22340,22470,22641,22753,22838,22907,23447,23649,23861,24175,24275,24344,24509,24659,24794,24918,25011,25108,25204,25361,25475,25559,25626
