h,h,h,l,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b
1968.2,2140.9,2310.2,2490.8,2701.2,2843.7,2968.1,3069.2,3185.1,3272.4,3375.8,3495.8,3618.2,3691.7,4293.1,4468.1,4595.1,4696.1,4821,4932.2,5018
2018.2,2209,2353.8,2619,2774.2,2919.6,3039.8,3133.6,3237.7,3326.3,3476.4,3580.1,3673.7,3738.1,4340.6,4511.7,4646.4,4796.3,4908.5,4997.7,5065.6
