e,h,e,h,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,l,k,f,f,f,c,g,j,d,d,c,b,h,h,l,k
1809.8,1981.3,2143.1,2433.8,2640.9,2857.3,3033.8,3191.6,3329.3,3436,3518.2,3658.7,3815.2,3936.5,4040.6,4157.2,4247.2,4349.2,4468.5,4578.2,4657.3,4866.3,5052.7,5238.2,5440.7,5598.8,5718.7,5842.6,5951,6065.7,6154.7,6257.3,6379,6488.8,6570.6,6767.8,6963.3,7146.8,7363.8
1884,2026.9,2196.3,2481.6,2679.3,2894.7,3084,3233.1,3402.9,3494,3564.4,3730.8,3886.3,4010.3,4102.2,4209.8,4297.2,4446.6,4549.5,4638.7,4712.8,4938.8,5097.8,5364.2,5515.9,5671.4,5796.1,5919.7,6015.3,6113.7,6205.4,6356.6,6462.7,6553.6,6616.6,6813.3,7006.9,7261.5,7433.9
