h,e,h,e,h,l,f,c,b,h,h,j,d,d,c,b,k,f,h,l,k,f,c,g,j,c,b,k,f,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,h,h,j,d,d,c,b,h,h,k,f,c,g,j
1946.8,2275.3,2579,2738.2,2998,3184,3462.3,3569,3648.9,3832.6,4008.7,4137.1,4239.8,4359.3,4467.9,4547.3,4791.4,4947.7,5434.2,5605.2,5821.6,5990.1,6095.7,6210.8,6297.8,6400,6474.3,6681.4,6833,6956.8,7091.3,7191.2,7306.7,7397,7499.5,7573.9,7731.9,7879.2,8005.5,8112.7,8226.6,8315.8,8419.8,8500.1,8648.4,8861.2,9012.6,9122.2,9220.5,9338.3,9449.9,9531.3,9784.3,9944.2,10061,10161,10282,10391,10469,11004,11160,11291,11412,11517,11631,11718
2006.3,2330.9,2609.8,2789,3030.5,3359.1,3534,3635.6,3705.1,3882.8,4058.2,4195.7,4341.8,4446.8,4531.3,4598.7,4865.4,5020.8,5483.2,5744.3,5900.9,6065.3,6164.2,6270.3,6350.8,6460.9,6529.5,6760.9,6907.7,7030.2,7164,7257.9,7361.2,7446.7,7559,7624.5,7805.4,7953,8079.7,8177.4,8280,8368.3,8484.5,8550.2,8722.5,8907.3,9057.1,9174.2,9317.6,9423.1,9514.9,9578.7,9832.5,9985.7,10111,10263,10365,10452,10515,11045,11207,11361,11489,11582,11685,11768
