h,h,h,h,h,h,h,e,h,f,f,c,b,k,f,c,g,j,c,b,k,f,f,f,c,g,j,d,d,c,b
284.75,456.79,638.12,749.71,1768,1972.6,2161.3,2439.8,2577.1,2709.9,2844.8,2954.9,3032.4,3171.8,3323.1,3428,3547.1,3636.1,3740,3818.5,3976.2,4135.8,4264.7,4405.3,4509.3,4640.1,4728.9,4839.4,4960.3,5078.5,5155.2
345.2,503.29,707.87,833.41,1805.2,2019.1,2200,2494,2623,2783.5,2920.7,3022.8,3090.6,3247,3393,3491.4,3601.4,3688.6,3798.2,3870.6,4040.6,4208.7,4340.9,4477.8,4572.6,4696.7,4784.2,4933.9,5044,5136.7,5207.4
