h,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,h,j,c,b,k,f,f,f,c,b,k,h,h,j,d,d,c,b,h,h,f,c,g,j,c,b,h,h,j,d,d,c,b,h,l,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k
1947,2236.3,2414.5,2589.6,2770.1,2909.1,3027.7,3097.5,3239.1,3392.6,3517.6,3619.4,3735.9,3823.3,3925.9,4045.6,4156,4233.3,4425.2,4581.6,4689.3,4800.8,4889.9,4992.8,5111.8,5222.5,5301,5574.8,5720.2,5835.9,5935,6053.9,6163.8,6244.5,6418.2,6602,6767.8,6882.9,6984.2,7103.9,7217.4,7295.8,7510.9,7682.7,7843.2,7952.8,8047.9,8125.1,8252.2,8396.6,8519.8,8637.2,8735.5,8820.5,8995.4,9216,9363.8,9467.9,9569.1,9690.7,9802.2,9885,10412,10592,10714,10825,10939,11027,11131,11211,11378,11545,11655,11754,11874,11985,12064,12447,12644,12847,12995,13117,13222,13340,13429,13534,13653,13770,13850,14463,14614,14737,14833,14952,15072,15148,15290
2020.8,2275.5,2488.3,2637.4,2801.2,2979.9,3086.1,3155.7,3313.9,3469.4,3587.8,3680,3790.8,3875.8,4022.3,4133.2,4219.3,4289.1,4500.8,4658.2,4757,4858.4,4948.3,5089.7,5198.8,5285.9,5352.9,5618.6,5762.3,5884.7,6033.3,6138.6,6229,6296.6,6489.3,6647.5,6817.7,6935.1,7082.2,7192.6,7280.8,7344.2,7576,7721.2,7881.7,8004.2,8107,8177.2,8327.9,8474.8,8598.6,8709.9,8799.4,8869,9069.8,9261.8,9412,9522.5,9667.9,9776.3,9864,9928.7,10453,10633,10790,10893,10995,11078,11190,11258,11426,11592,11707,11853,11959,12050,12124,12489,12784,12918,13069,13194,13285,13395,13482,13631,13736,13833,13897,14498,14654,14786,14932,15037,15131,15194,15362
