l,h,e,h,h,h,e,c,b,k,f,h,h,e,h,f,f,f,c,g,j,d,d,c,b,k,f,f,c,h,h,j,d,d,c,b,h,h,l,k,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,l,f,h,h,j,d,d,c,b,h,h,h,k,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d
1867.2,2071,2245.9,2406.5,2598.2,2763,2931.6,3067.4,3138,3270.2,3412.2,3750.1,3913.1,4059.5,4214,4335.8,4449.7,4575.4,4675.3,4786.3,4875.7,4977,5095.2,5204,5286.8,5437.9,5582.9,5704.4,5803.4,6121.4,6282,6401,6499.7,6612.2,6725.8,6806.5,7169.1,7321.1,7492.4,7721.8,7868.2,7974.7,8051.7,8183.6,8330.6,8455.8,8559,8675.5,8762.3,8867.2,8943.8,9079.8,9248.8,9405.3,9521.4,9622.5,9741.7,9858.3,9930.6,10084,10287,10437,10549,10646,10767,10889,10962,11197,11409,11614,11888,12080,12246,12363,12463,12583,12694,12772,13746,14445,14579,14702,14798,14917,15029,15109,15246,15391,15512,15619,15735,15823,15928,16048,16164,16245,16400,16607,16758,16878,16978,17142
2006.4,2134.7,2303.8,2448.9,2638.6,2806.5,2989.4,3120.1,3194.7,3343.6,3486.4,3783.2,3953.4,4103.8,4244.6,4407,4522.8,4646.9,4743.5,4836.5,4925.9,5072.8,5181.2,5268.2,5335.2,5511.1,5656.7,5778.9,5866.4,6156.3,6326.5,6449.3,6595.7,6701.7,6788,6854.1,7213.8,7365.9,7645.6,7797.2,7944.5,8033.3,8101.7,8254,8405.4,8528.8,8626.5,8729.9,8813.1,8926.8,8996.2,9154.9,9294.9,9450.7,9574.5,9721.3,9827.7,9919.7,9981.4,10158,10334,10484,10604,10745,10858,10946,11011,11269,11454,11756,11963,12130,12299,12420,12562,12674,12755,12825,13789,14475,14623,14749,14896,15003,15093,15154,15318,15463,15588,15685,15790,15875,16026,16138,16228,16291,16473,16654,16806,16926,17077,17216
