h,h,e,h,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b
1967.1,2145,2307.4,2445,2577.6,2697.2,2807.1,2919.8,3008.1,3110.8,3188.6,3314.7,3467.8,3588.6,3691.8,3802.1,3890,3993.6,4068.7,4206.2,4358.1,4481.1,4586.2,4700.3,4786.7,4890.9,5010,5122,5200.6,5575.7,5733.3,5851,5948.1,6067.2,6184.8,6260.2
2043.8,2186.2,2354,2486.3,2648.8,2772.7,2867.8,2973,3057.4,3169.8,3233.2,3386.5,3537.9,3665.9,3761.2,3859.2,3943.8,4058,4126.5,4285,4434.1,4555.7,4654.2,4755,4839.1,4988.4,5096.2,5183.9,5253.3,5641.4,5767.9,5897.6,6041.1,6158.5,6240.4,6307.5
