e,e,e,h,e,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,l,k,f,f,c,g,j,d,d,c,b,k,f,f,f,c,g,j,d,d,c,b,h,h,e,c,b,k,h,h,j,d,d,c,b
1952,2286.6,2627.9,2839.2,2998.5,3199.2,3351.1,3512.9,3625.8,3707,3847.9,4000.4,4118.6,4227.6,4342.3,4430.8,4531.6,4647.8,4760.1,4835.7,5024.7,5181.9,5303,5408.6,5527.4,5615.8,5717.7,5794.3,5929.6,6075.8,6197.5,6303.2,6382.8,6569.8,6765.5,6917.4,7028.9,7127.4,7244.3,7362.1,7434.5,7625.9,8508,8679.4,8848.2,8990.8,9111.7,9212.2,9327.8,9417.1,9518.4,9633.8,9743.2,9821.4,9947.5,10096,10216,10341,10445,10560,10648,10750,10871,10988,11060,11332,11506,11674,11782,11863,12010,12178,12344,12457,12558,12675,12788,12869
2012.3,2346.3,2681.5,2871.8,3049,3229.3,3397.1,3589.3,3691.8,3759.2,3923.6,4076.4,4192.2,4290.4,4398.2,4482.8,4626.1,4732.8,4821.7,4885.8,5091.7,5254.8,5377.5,5473.9,5584.7,5668.3,5782.8,5848.1,6003.5,6154.1,6268.9,6368.7,6435,6635.8,6809.5,6960.1,7081.2,7226.3,7330,7423.7,7490.2,7706.8,8550,8789.1,8922.4,9066.8,9188,9275,9382.5,9466.8,9611.5,9720.3,9808.3,9871.7,10021,10173,10290,10419,10514,10614,10700,10847,10957,11050,11113,11375,11553,11729,11845,11916,12084,12231,12396,12511,12657,12760,12851,12916
