h,h,h,e,h,f,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,h,h,j,d,d,c,b,h,j,d,d,c,b
1984.9,2403,2610.1,2848.5,3108.4,3258.8,3359.7,3437.2,3638.1,3802.8,3923.8,4020.3,4137.4,4247.8,4329.3,4539.8,4696.4,4809.9,4917.4,4994.8,5135.1,5328.4,5457.8,5574,5677.6,5791,5877.5,5978.7,6091.3,6206.9,6276.3,6506.1,6658.5,6780.7,6882.3,6960.6,7093.1,7250.5,7369.4,7479.2,7562.3,7687.9,7870.6,7983.7,8070.5,8173.9,8288.1,8401.1,8476.9,8819.2,8965.1,9081.1,9180.8,9303.2,9414.2,9494.9,9646.5,9828,9983.9,10102,10198,10319,10429,10506,11049,11176,11279,11397,11510,11592
2026.4,2455.7,2670.4,2894.2,3148.7,3327,3418.7,3493.4,3685.6,3850.6,3974.4,4115.7,4222,4307.3,4371.1,4605.7,4770.8,4884.7,4985.6,5050.7,5212.3,5373.6,5533.3,5649.7,5740.2,5845.6,5929.1,6077.6,6175.6,6262.6,6330.1,6585.2,6733.9,6851.9,6946.2,7017.7,7168.8,7324.1,7442.8,7543.2,7607.5,7757.9,7932.8,8039.1,8123,8270.1,8371.5,8464.3,8533.4,8863.2,9014.3,9138.5,9277.7,9388.6,9474.2,9540.9,9714.1,9877.9,10029,10156,10295,10404,10496,10564,11090,11235,11378,11489,11573,11641
